surface,ranking,player_name,matches_played,return_points_won,return_points_won_in_play,vs_ace_pct,vs_double_fault_pct,vs_first_serve_win_pct,vs_second_serve_win_pct,break_point_conversion_pct,points_per_return_game,points_won_per_return_game,median_opponent_rank,mean_opponent_rank
clay,154,Zdenek Kolar,58,41.18%,41.19%,4.76%,3.32%,35.82%,49.91%,39.57%,6.67,2.75,266.5,311.6
clay,156,Zhizhen Zhang,7,32.92%,34.15%,11.25%,3.96%,26.75%,44.58%,48.15%,6.08,2,66,87.7
clay,34,Zizou Bergs,14,38.24%,37.81%,4.70%,3.55%,32.61%,47.63%,42.39%,6.13,2.35,51,96.3
clay,123,Zsombor Piros,36,40.46%,40.05%,3.94%,3.30%,33.25%,54.02%,45.80%,6.4,2.59,231.5,273.7
grass,98,Adam Walton,8,39.16%,38.39%,7.02%,5.62%,32.32%,50.00%,41.79%,6.41,2.51,140.5,213
grass,52,Adrian Mannarino,11,37.17%,38.59%,9.59%,3.72%,27.70%,54.39%,44.44%,6.18,2.3,54,90.5
grass,264,Alastair Gray,5,43.38%,43.15%,5.54%,4.62%,35.85%,57.52%,42.42%,7.07,3.07,240,431
grass,20,Alejandro Davidovich Fokina,12,38.69%,39.91%,9.46%,4.26%,31.53%,50.00%,38.46%,6.65,2.57,57.5,62.7
grass,41,Alex Michelsen,5,41.99%,41.51%,3.64%,3.40%,35.89%,51.22%,56.67%,6.98,2.93,209,381.2
grass,8,Alex de Minaur,11,43.95%,43.79%,5.33%,4.44%,35.17%,58.58%,45.37%,6.72,2.96,65,61.2
grass,11,Alexander Bublik,8,31.47%,34.46%,15.26%,3.46%,22.24%,46.27%,30.95%,6.55,2.06,75.5,113.6
grass,3,Alexander Zverev,11,33.36%,35.20%,10.89%,3.07%,25.92%,50.00%,35.14%,6.51,2.17,51,47.5
grass,175,Alexis Galarneau,8,37.08%,36.88%,7.16%,4.49%,27.46%,51.40%,35.71%,6.53,2.42,178,194.5
grass,37,Arthur Fery,15,37.85%,37.81%,7.14%,4.41%,30.91%,49.91%,41.41%,6.54,2.48,98,87.1
grass,127,Arthur Gea,7,35.73%,36.01%,7.00%,3.50%,28.21%,49.48%,40.82%,6.17,2.2,149,195.9
grass,28,Arthur Rinderknech,5,30.71%,30.84%,8.80%,3.75%,25.00%,41.76%,29.63%,6.28,1.93,67,115
grass,227,August Holmgren,5,34.19%,33.55%,7.12%,4.56%,26.61%,46.62%,30.77%,6.5,2.22,149,164.4
grass,6,Ben Shelton,8,29.98%,31.93%,11.99%,2.76%,21.86%,45.61%,25.00%,6.32,1.89,65.5,61.6
grass,103,Benjamin Bonzi,7,37.21%,37.69%,8.21%,4.20%,30.68%,50.58%,40.91%,6.09,2.27,130,144.6
grass,155,Billy Harris,8,33.75%,34.24%,11.13%,5.06%,24.70%,49.82%,28.57%,6.82,2.3,133.5,130
grass,22,Brandon Nakashima,6,37.88%,39.43%,11.95%,5.22%,27.15%,55.86%,48.84%,6.53,2.47,54.5,59.3
grass,129,Christopher O'Connell,7,35.40%,36.80%,10.80%,4.07%,26.96%,48.64%,31.25%,6.65,2.35,191,175.4
grass,202,Clement Chidekh,8,40.92%,41.49%,7.44%,4.29%,34.83%,51.57%,34.52%,7.06,2.89,322.5,385.4
grass,69,Corentin Moutet,5,32.53%,32.89%,6.02%,2.41%,25.09%,48.48%,38.10%,6.1,1.99,92,318.4
grass,122,Dane Sweeny,6,36.24%,37.53%,9.11%,3.42%,30.33%,46.39%,28.89%,6.67,2.42,145,300.2
grass,65,Daniel Altmaier,8,32.08%,32.24%,9.43%,4.25%,25.24%,45.00%,24.53%,6.17,1.98,59,62.4
grass,7,Daniil Medvedev,9,40.49%,41.40%,5.52%,2.35%,32.93%,56.12%,42.86%,6.98,2.83,74,142.9
grass,221,Darwin Blanch,7,34.82%,34.29%,6.35%,4.12%,27.86%,48.24%,43.24%,6.2,2.16,159,205.9
grass,47,Ethan Quinn,9,35.83%,36.87%,8.56%,3.34%,27.42%,52.38%,36.76%,6.23,2.23,54,78.1
grass,63,Fabian Marozsan,9,31.79%,33.06%,9.14%,2.61%,25.22%,44.30%,29.09%,6.26,1.99,50,59.3
grass,29,Felix Auger-Aliassime,10,33.33%,32.87%,5.00%,3.14%,29.05%,42.38%,40.00%,6.3,2.1,64.5,61.3
grass,218,Felix Gill,10,32.76%,33.78%,9.80%,3.46%,24.73%,46.96%,29.03%,6.47,2.12,160,349.3
grass,303,Filippo Romano,8,35.63%,35.64%,5.99%,3.29%,29.42%,48.61%,42.86%,6.24,2.22,161,198.6
grass,10,Flavio Cobolli,6,35.43%,36.51%,6.88%,2.24%,27.84%,50.91%,38.78%,6.56,2.32,32,47.5
grass,23,Frances Tiafoe,11,33.94%,37.62%,15.66%,3.54%,22.87%,53.65%,38.27%,6.35,2.15,52,51.5
grass,25,Francisco Cerundolo,6,39.31%,40.16%,6.22%,2.74%,29.29%,55.50%,38.10%,6.67,2.62,56,64.2
grass,87,Gabriel Diallo,7,31.62%,32.81%,7.44%,1.86%,28.04%,39.72%,44.44%,5.97,1.89,50,65.1
grass,91,Giovanni Mpetshi Perricard,5,26.89%,26.56%,8.61%,3.57%,20.30%,41.78%,31.58%,6.1,1.64,56,84.8
grass,138,Grigor Dimitrov,10,35.96%,37.34%,9.40%,3.39%,29.64%,48.84%,37.50%,6.54,2.35,136,241.3
grass,201,Harry Wendelken,5,33.26%,34.66%,12.88%,4.68%,24.64%,49.01%,30.77%,6.47,2.15,133,227.6
grass,217,Henry Searle,10,38.03%,36.40%,3.42%,4.51%,31.08%,50.78%,40.32%,6.47,2.46,209,285.3
grass,72,Hubert Hurkacz,7,33.16%,33.33%,9.02%,4.24%,23.48%,48.30%,34.62%,6.5,2.16,74,55.7
grass,36,Ignacio Buse,6,34.45%,35.13%,7.72%,3.13%,26.73%,47.73%,39.39%,6.3,2.17,83.5,73.5
grass,172,Jack Pinnington Jones,7,36.32%,36.59%,5.47%,2.74%,26.43%,53.78%,35.09%,6.51,2.37,96,143
grass,110,Jacob Fearnley,15,41.69%,41.41%,5.45%,4.33%,34.11%,54.51%,41.18%,6.99,2.91,159,165.9
grass,77,Jan Choinski,5,35.96%,38.13%,11.91%,3.82%,25.28%,51.67%,38.24%,6.45,2.32,64,90.2
grass,43,Jan-Lennard Struff,9,31.76%,35.20%,15.69%,3.21%,23.08%,50.91%,39.62%,6.34,2.01,54,56
grass,1,Jannik Sinner,7,36.60%,37.33%,6.33%,2.61%,28.49%,52.79%,35.82%,6.66,2.44,50,59.3
grass,43,Jaume Munar,5,37.41%,37.77%,8.71%,4.71%,29.59%,54.96%,35.48%,6.54,2.45,48,71.2
grass,74,Jenson Brooksby,8,38.00%,39.66%,9.00%,3.17%,30.69%,50.45%,40.62%,6.25,2.38,68.5,77.6
grass,14,Jiri Lehecka,9,33.87%,34.79%,8.09%,2.91%,27.67%,45.26%,33.33%,6.62,2.24,47,56.9
grass,132,Jurij Rodionov,5,40.84%,41.39%,6.01%,3.30%,35.61%,49.22%,37.50%,7.09,2.89,253,272.4
grass,68,Kamil Majchrzak,12,37.44%,39.16%,10.28%,3.78%,30.98%,49.18%,41.46%,6.61,2.47,84.5,102.6
grass,121,Kyrian Jacquet,7,37.76%,38.95%,7.93%,3.10%,27.61%,53.78%,40.38%,6.67,2.52,169,212.6
grass,88,Lorenzo Sonego,6,29.81%,29.95%,7.34%,2.94%,24.74%,41.35%,41.94%,6.08,1.81,35,36.8
grass,144,Mackenzie McDonald,6,34.43%,35.81%,10.53%,3.73%,26.60%,47.13%,38.24%,6.25,2.15,117,112.7
grass,45,Marcos Giron,7,33.63%,35.01%,8.37%,2.39%,31.40%,38.73%,37.78%,6.25,2.1,39,64.7
grass,80,Marin Cilic,5,34.19%,36.57%,15.42%,5.14%,26.48%,48.53%,50.00%,5.89,2.02,33,28.4
grass,159,Mark Lajal,8,35.75%,35.07%,6.33%,4.47%,27.76%,49.01%,37.25%,5.97,2.13,153,162.5
grass,326,Martin Damm,6,29.65%,30.64%,11.58%,3.68%,21.37%,44.39%,33.33%,6.13,1.82,58.5,65.8
grass,67,Martin Landaluce,5,31.46%,31.95%,13.96%,5.83%,19.39%,50.54%,30.00%,6.23,1.96,77,114.2
grass,82,Marton Fucsovics,6,35.24%,35.51%,8.27%,4.13%,29.23%,48.43%,35.48%,6.43,2.27,27.5,42
grass,81,Mattia Bellucci,7,32.29%,34.72%,10.59%,1.91%,26.16%,43.06%,43.75%,6,1.94,30,47.7
grass,250,Max Basing,5,35.81%,36.55%,6.05%,2.33%,27.69%,48.24%,25.00%,6.94,2.48,273,273.2
grass,110,Michael Zheng,5,33.72%,33.15%,5.70%,3.69%,27.94%,44.13%,42.42%,6.41,2.16,138,103
grass,66,Miomir Kecmanovic,5,29.52%,31.55%,14.55%,3.74%,19.35%,47.95%,20.00%,6.17,1.82,62,98.4
grass,5,Novak Djokovic,6,31.83%,35.92%,14.86%,1.95%,23.75%,49.76%,39.53%,6,1.91,58,63.2
grass,47,Nuno Borges,9,34.94%,36.44%,12.02%,4.53%,25.62%,50.38%,34.48%,6.37,2.23,47,55.1
grass,436,Oliver Tarvet,6,31.86%,33.33%,12.02%,3.81%,22.65%,46.84%,33.33%,6.32,2.01,127,153.2
grass,114,Otto Virtanen,12,33.55%,34.49%,8.22%,2.91%,25.19%,49.76%,30.38%,6.8,2.28,160,162.2
grass,57,Quentin Halys,5,36.36%,38.01%,8.57%,2.60%,29.15%,53.51%,41.38%,6.21,2.26,92,110.8
grass,38,Raphael Collignon,5,27.49%,28.10%,10.21%,3.14%,21.90%,37.14%,31.82%,5.88,1.62,45,47.2
grass,182,Remy Bertola,5,33.12%,33.33%,8.20%,3.79%,20.90%,48.57%,36.36%,6.1,2.02,138,120.8
grass,95,Rinky Hijikata,9,36.02%,38.39%,11.56%,3.36%,24.63%,56.13%,40.38%,6.41,2.31,73,89.9
grass,102,Roman Safiullin,8,36.01%,38.30%,11.12%,3.19%,31.33%,50.22%,34.25%,6.83,2.46,73.5,108.9
grass,117,Shintaro Mochizuki,8,41.19%,43.58%,9.84%,3.37%,34.08%,53.76%,39.74%,7.02,2.89,115.5,122.1
