surface,ranking,player_name,matches_played,return_points_won,return_points_won_in_play,vs_ace_pct,vs_double_fault_pct,vs_first_serve_win_pct,vs_second_serve_win_pct,break_point_conversion_pct,points_per_return_game,points_won_per_return_game,median_opponent_rank,mean_opponent_rank
hard,551,Alexander Donski,10,34.52%,34.34%,6.51%,3.69%,27.50%,46.94%,33.85%,6.36,2.2,507.5,542.7
hard,496,Alexander Ritschard,5,41.25%,40.41%,5.22%,4.96%,30.91%,55.21%,35.71%,7.09,2.93,433,479.4
hard,100,Alexander Shevchenko,24,32.54%,33.27%,8.60%,3.18%,25.14%,46.28%,32.28%,6.43,2.09,60.5,95.7
hard,3,Alexander Zverev,41,33.86%,34.91%,8.93%,3.18%,26.39%,47.73%,34.98%,6.39,2.16,32,39.2
hard,135,Alexandre Muller,17,32.08%,35.17%,12.45%,2.00%,25.25%,44.67%,32.89%,6.3,2.02,57,60.8
hard,139,Alexei Popyrin,22,31.72%,32.80%,11.54%,4.02%,24.07%,43.85%,32.63%,5.92,1.88,59,106
hard,175,Alexis Galarneau,48,37.84%,38.54%,8.02%,3.90%,29.11%,51.55%,43.96%,6.38,2.41,237.5,302.3
hard,409,Alfredo Perez,14,36.83%,36.77%,6.03%,3.60%,28.07%,51.71%,37.93%,6.22,2.29,353,356.3
hard,679,Amit Vales,6,40.37%,40.51%,5.80%,3.71%,29.10%,58.90%,36.36%,6.53,2.64,304.5,401.7
hard,243,Andre Ilagan,60,38.78%,40.49%,10.32%,4.15%,28.48%,53.59%,41.97%,6.57,2.55,309,411.9
hard,213,Andrea Guerrieri,10,37.34%,37.97%,10.13%,5.19%,27.54%,52.77%,39.68%,6.58,2.46,297.5,347.1
hard,614,Andrea Vavassori,8,37.05%,37.34%,4.80%,2.40%,33.33%,44.56%,41.67%,6.27,2.32,143.5,153.6
hard,340,Andres Martin,41,38.65%,37.98%,5.52%,4.47%,31.27%,49.76%,39.01%,6.55,2.53,379,407.2
hard,394,Andrew Fenty,17,33.87%,35.19%,10.75%,3.80%,25.77%,47.70%,36.90%,6.54,2.22,398,474.5
hard,18,Andrey Rublev,27,36.32%,37.62%,9.79%,3.81%,29.41%,48.19%,37.84%,6.51,2.36,45,69.6
hard,251,Andy Andrade,25,40.31%,39.64%,5.81%,4.93%,31.65%,53.41%,48.84%,6.45,2.6,234,382.9
hard,348,Antoine Escoffier,7,42.66%,40.92%,5.63%,6.84%,36.04%,51.40%,48.15%,6.37,2.72,321,422.7
hard,351,Antoine Ghibaudo,30,35.20%,35.35%,7.62%,3.94%,26.42%,48.94%,41.48%,6.2,2.18,289.5,401.9
hard,350,Anton Matusevich,5,39.32%,40.44%,10.53%,5.26%,29.50%,55.28%,62.50%,5.98,2.35,318.5,314.2
hard,912,Aoran Wang,5,27.43%,29.72%,13.27%,2.36%,20.00%,37.50%,50.00%,5.56,1.52,234,419.8
hard,829,Arda Azkara,11,35.23%,35.68%,9.08%,4.34%,25.75%,48.53%,39.66%,5.86,2.06,461,511.9
hard,439,Arthur Bouquier,14,35.82%,36.32%,7.03%,3.22%,28.42%,48.51%,31.96%,6.45,2.31,162.5,184.2
hard,73,Arthur Cazaux,19,36.16%,36.02%,5.55%,3.34%,28.86%,48.73%,37.40%,6.5,2.35,73,90.3
hard,37,Arthur Fery,20,37.84%,37.84%,6.25%,3.80%,31.37%,47.99%,38.30%,6.54,2.48,228.5,241.3
hard,21,Arthur Fils,27,36.26%,37.14%,8.71%,3.73%,27.43%,50.28%,40.76%,6.58,2.38,25,52.6
hard,127,Arthur Gea,23,41.27%,40.43%,4.20%,4.26%,32.15%,54.01%,49.69%,6.55,2.7,158,219.5
hard,28,Arthur Rinderknech,32,32.79%,33.27%,7.40%,2.97%,25.83%,45.33%,37.02%,6.4,2.1,36,55.8
hard,398,Arthur Weber,9,35.92%,35.25%,8.94%,5.90%,24.57%,52.26%,34.62%,6.38,2.29,379,607.1
hard,410,Aryan Shah,9,33.99%,36.19%,12.42%,3.59%,25.37%,50.48%,36.96%,6,2.04,430,462.9
hard,227,August Holmgren,34,34.50%,34.26%,6.30%,3.66%,28.08%,44.50%,33.68%,6.52,2.25,282.5,305.1
hard,690,Aziz Dougaz,12,36.29%,34.45%,5.92%,5.92%,26.16%,51.22%,38.10%,6.5,2.36,320.5,367.1
hard,494,Aziz Ouakaa,8,33.89%,32.46%,6.11%,5.05%,27.72%,44.77%,54.84%,5.79,1.96,503.5,540.2
hard,419,Beibit Zhukayev,19,32.99%,33.65%,10.87%,4.51%,25.58%,43.16%,33.00%,6.26,2.06,282,311
hard,746,Ben Jones,5,30.52%,31.46%,10.06%,3.25%,23.78%,40.65%,42.86%,6.04,1.84,402,468.2
hard,6,Ben Shelton,31,32.63%,33.30%,8.36%,3.17%,24.55%,47.28%,37.04%,6.26,2.04,38,77.9
hard,103,Benjamin Bonzi,31,34.53%,35.67%,9.75%,3.62%,26.16%,50.00%,36.00%,6.27,2.16,104,170.2
hard,509,Benjamin Hassan,18,35.08%,34.60%,6.68%,4.26%,28.33%,45.66%,40.20%,6.09,2.14,391.5,375.4
hard,917,Benoit Paire,5,35.24%,35.76%,6.59%,2.87%,30.40%,44.26%,47.62%,6.23,2.2,217,274
hard,160,Bernard Tomic,36,37.54%,38.17%,9.23%,4.69%,29.99%,49.01%,36.47%,6.67,2.5,321.5,373.6
hard,155,Billy Harris,25,36.01%,35.89%,7.94%,4.64%,25.91%,50.58%,33.33%,6.68,2.41,220,260.1
hard,373,Blaise Bicknell,27,33.93%,33.20%,5.53%,3.84%,26.67%,46.32%,30.97%,6.39,2.17,325,415.4
hard,502,Blake Ellis,27,33.39%,34.37%,9.27%,3.37%,27.24%,43.80%,29.01%,6.47,2.16,322,375.5
hard,437,Bor Artnak,5,37.05%,37.24%,3.28%,1.64%,32.32%,45.79%,29.73%,6.78,2.51,437,386.8
hard,163,Borna Gojo,32,37.70%,37.30%,6.00%,4.20%,29.46%,50.63%,40.18%,6.59,2.48,238,366.5
hard,59,Botic van de Zandschulp,23,36.11%,37.43%,10.32%,4.06%,27.73%,50.35%,37.98%,6.71,2.42,38,53.7
hard,234,Braden Shick,17,39.39%,38.91%,5.53%,4.30%,31.51%,50.86%,49.04%,6.26,2.47,330,404
hard,109,Brandon Holt,14,38.41%,38.69%,8.71%,5.05%,28.97%,52.49%,38.54%,6.75,2.59,242,267.5
hard,22,Brandon Nakashima,45,34.22%,36.14%,11.82%,3.70%,25.77%,49.25%,35.55%,6.48,2.22,49,58.8
hard,251,Buvaysar Gadamauri,14,38.79%,38.09%,4.43%,3.85%,30.67%,52.45%,41.58%,6.49,2.52,300,349.8
hard,318,Calvin Hemery,26,35.60%,35.23%,6.97%,4.36%,28.28%,48.18%,38.46%,6.45,2.3,321,485.7
hard,35,Cameron Norrie,41,36.71%,39.10%,11.58%,3.50%,27.68%,51.24%,39.48%,6.54,2.4,59,81.1
hard,76,Camilo Ugo Carabelli,19,32.98%,34.85%,11.02%,3.02%,26.28%,44.72%,35.23%,6.28,2.07,59,67.9
hard,435,Cannon Kingsley,18,35.76%,35.93%,8.84%,4.69%,26.79%,49.80%,40.82%,6.23,2.23,283,320.9
hard,472,Carl Emil Overbeck,12,36.55%,37.79%,8.31%,3.06%,31.48%,46.40%,35.62%,6.65,2.43,420,374.7
hard,2,Carlos Alcaraz,38,39.75%,40.51%,6.60%,3.21%,32.36%,52.81%,39.12%,6.8,2.7,21,28.3
hard,17,Casper Ruud,29,35.24%,36.96%,12.26%,4.46%,25.44%,50.31%,40.54%,6.31,2.22,56,63
hard,320,Cedrik-Marcel Stebe,16,39.17%,39.17%,5.48%,3.52%,32.36%,50.21%,36.07%,6.76,2.65,256.5,284.4
hard,287,Charles Broom,34,38.44%,39.12%,8.85%,4.58%,29.70%,52.43%,42.11%,6.47,2.49,316.5,363.3
hard,191,Chris Rodesch,25,36.85%,35.93%,5.16%,4.33%,28.86%,49.22%,37.84%,6.67,2.46,196,249.9
hard,455,Christian Langmo,21,32.14%,31.21%,5.09%,3.66%,26.67%,42.95%,36.14%,6.17,1.98,315,351.7
hard,422,Christoph Negritu,12,31.59%,33.00%,10.24%,2.94%,22.62%,45.43%,30.43%,6.2,1.96,278.5,287
hard,129,Christopher O'Connell,22,33.01%,34.47%,10.75%,3.42%,25.85%,44.46%,38.64%,6.12,2.02,71.5,111.9
hard,272,Chun-Hsin Tseng,9,38.45%,37.77%,7.59%,5.70%,28.17%,55.46%,37.68%,6.38,2.45,182,192.6
hard,202,Clement Chidekh,47,41.59%,43.15%,8.04%,3.35%,34.26%,53.90%,37.86%,6.77,2.82,261,292.6
hard,159,Clement Tabur,20,38.01%,39.73%,8.84%,2.97%,28.94%,53.61%,44.09%,6.49,2.47,184.5,207.8
hard,92,Coleman Wong,52,36.55%,36.87%,7.07%,3.61%,29.17%,48.15%,41.80%,6.25,2.29,182,216.8
hard,503,Colin Sinclair,7,30.98%,31.43%,7.84%,2.94%,24.18%,41.18%,29.17%,6.14,1.9,329,464.3
hard,197,Colton Smith,25,39.57%,38.68%,3.96%,3.96%,34.43%,47.28%,39.01%,6.7,2.65,327,334.4
hard,424,Constantin Bittoun Kouzmine,13,36.08%,35.84%,7.91%,4.79%,29.25%,49.03%,37.18%,6.37,2.3,511,480.7
hard,490,Corentin Denolly,5,35.69%,37.67%,11.33%,3.68%,27.23%,48.57%,41.38%,6.09,2.17,251,275
hard,69,Corentin Moutet,30,37.55%,37.99%,6.34%,3.17%,31.08%,49.29%,45.98%,6.18,2.32,60.5,59
hard,612,Cruz Hewitt,11,37.70%,38.66%,8.85%,4.00%,30.83%,49.35%,29.33%,6.71,2.53,313,331.9
hard,111,Dalibor Svrcina,17,42.77%,42.63%,6.20%,4.85%,31.63%,58.12%,40.16%,7.27,3.11,83,100.4
hard,104,Damir Dzumhur,19,34.60%,36.11%,10.80%,3.74%,26.87%,46.71%,38.78%,6.31,2.18,73,109.6
hard,220,Dan Added,36,36.38%,37.45%,8.29%,3.25%,29.04%,48.48%,36.76%,6.59,2.4,290.5,321.1
hard,630,Dan Martin,13,33.23%,34.68%,12.34%,4.32%,25.14%,43.44%,41.27%,6,1.99,329,384.5
hard,122,Dane Sweeny,34,39.76%,41.09%,8.38%,3.59%,32.46%,51.28%,41.18%,6.65,2.65,328.5,394.7
hard,65,Daniel Altmaier,24,32.25%,33.03%,9.78%,3.65%,21.17%,50.60%,32.52%,6.31,2.04,40,51.9
hard,184,Daniel Evans,5,40.58%,40.17%,7.25%,5.56%,31.05%,54.82%,38.78%,6.47,2.62,184,448.8
hard,370,Daniel Masur,15,36.40%,37.30%,9.12%,3.98%,28.36%,49.90%,38.53%,6.8,2.47,286,419
hard,40,Daniel Merida,24,42.23%,42.16%,4.36%,3.30%,34.11%,55.59%,50.60%,6.28,2.65,184.5,184.8
hard,338,Daniel Michalski,16,40.73%,40.12%,5.51%,4.71%,33.38%,50.95%,45.53%,6.42,2.62,297,317.1
hard,306,Daniel Milavsky,27,36.87%,36.56%,6.85%,4.45%,26.96%,50.88%,43.03%,6.25,2.3,337,432.3
hard,203,Daniel Rincon,13,40.99%,40.13%,3.42%,3.73%,33.98%,52.38%,43.81%,6.58,2.7,244,313.4
hard,166,Daniil Glinka,45,37.49%,37.64%,6.72%,3.81%,29.17%,50.30%,38.82%,6.48,2.43,255,374.3
hard,7,Daniil Medvedev,44,40.73%,41.22%,4.24%,2.13%,34.57%,52.19%,42.32%,6.58,2.68,44.5,60.1
hard,533,Daniil Ostapenkov,5,30.37%,31.55%,9.42%,2.62%,19.84%,49.63%,21.74%,6.26,1.9,383,444
hard,221,Darwin Blanch,33,36.00%,36.40%,6.92%,3.32%,29.60%,47.36%,36.59%,6.45,2.32,256,312.5
hard,236,David Goffin,12,37.93%,38.89%,9.64%,4.56%,29.72%,49.38%,36.27%,6.66,2.52,69,79.7
hard,186,David Jorda Sanchis,9,38.36%,36.80%,1.42%,3.30%,34.34%,46.83%,34.92%,6.49,2.49,316,390.8
hard,48,Denis Shapovalov,31,39.39%,38.03%,3.11%,4.09%,30.88%,53.41%,39.60%,6.49,2.55,63,93.7
hard,439,Denis Yevseyev,19,40.57%,39.41%,5.07%,5.21%,32.95%,51.75%,36.75%,6.63,2.69,300,445.6
hard,393,Dhakshineswar Suresh,21,32.25%,32.91%,8.19%,3.03%,24.60%,44.71%,38.64%,6.21,2,169,242.8
hard,540,Digvijaypratap Singh,8,26.45%,27.39%,10.88%,2.81%,18.50%,41.18%,25.93%,5.86,1.55,297,330.5
hard,378,Dimitar Kuzmanov,26,41.10%,41.27%,5.20%,3.37%,36.48%,48.67%,46.45%,6.24,2.56,313.5,333.3
hard,98,Dino Prizmic,12,34.05%,33.96%,6.54%,3.49%,26.97%,45.32%,31.51%,6.52,2.22,117,103.6
hard,652,Dmitry Popko,10,38.21%,37.54%,4.46%,3.77%,30.95%,51.37%,37.50%,6.46,2.47,423.5,409.6
hard,327,Dominic Stricker,8,36.12%,38.60%,11.67%,3.30%,27.76%,52.26%,43.24%,6.14,2.22,219.5,251.1
hard,498,Dominik Palan,14,34.12%,31.42%,5.26%,6.35%,25.62%,48.42%,30.77%,6.6,2.25,557.5,811.3
hard,302,Duje Ajdukovic,22,38.14%,39.02%,6.70%,2.85%,31.27%,49.92%,50.00%,6.24,2.38,266,315.1
hard,606,Duncan Chan,12,36.44%,34.51%,3.94%,5.02%,29.52%,46.61%,50.98%,6.29,2.29,243.5,265.4
hard,149,Dusan Lajovic,8,33.76%,34.43%,8.40%,3.39%,22.54%,48.86%,41.03%,6.38,2.15,209.5,206
hard,268,Edas Butvilas,36,40.49%,39.63%,4.48%,4.36%,33.44%,51.35%,42.86%,6.62,2.68,298,336.8
hard,348,Edward Winter,29,40.61%,39.46%,5.03%,5.17%,30.80%,54.65%,37.55%,6.62,2.69,380.5,452.8
hard,486,Eero Vasa,5,38.12%,36.00%,4.42%,5.80%,29.51%,46.93%,50.00%,6.03,2.3,230,457.4
hard,314,Eliakim Coulibaly,29,39.71%,39.22%,5.27%,4.20%,29.56%,52.86%,50.27%,6.27,2.49,423,486.2
hard,208,Elias Ymer,22,38.16%,37.93%,6.67%,4.44%,28.96%,52.25%,42.00%,6.27,2.39,308.5,332.4
hard,91,Eliot Spizzirri,18,36.17%,38.39%,10.67%,3.06%,28.46%,50.75%,43.64%,6.57,2.38,84.5,121.3
hard,184,Elmer Moller,7,30.49%,31.09%,8.79%,3.10%,24.60%,41.01%,50.00%,6.14,1.87,209,234.7
hard,547,Emil Ruusuvuori,11,31.48%,34.95%,16.92%,3.75%,23.34%,46.36%,41.67%,6.27,1.97,157,149.7
hard,517,Emile Hudd,5,29.34%,31.03%,10.78%,2.40%,23.73%,42.86%,30.43%,5.76,1.69,415,368.6
hard,86,Emilio Nava,5,31.93%,30.93%,5.59%,3.96%,26.78%,43.28%,22.73%,6.7,2.14,48,99.8
hard,321,Enrico Dalla Valle,5,38.92%,36.50%,5.14%,6.76%,31.22%,50.34%,32.43%,6.85,2.67,439,477.8
hard,608,Ergi Kirkin,5,33.43%,34.84%,8.86%,2.57%,23.56%,47.89%,40.00%,6.14,2.05,402,509.2
hard,621,Erik Arutiunian,7,34.03%,33.84%,5.79%,3.24%,23.48%,48.11%,44.44%,6.08,2.07,423,414
hard,47,Ethan Quinn,19,32.24%,33.25%,9.80%,3.37%,26.44%,42.89%,37.84%,5.67,1.83,68,99.9
hard,590,Evan Zhu,7,30.95%,29.11%,6.43%,5.24%,25.10%,39.64%,52.63%,5.75,1.78,171,241.4
hard,63,Fabian Marozsan,24,34.46%,35.65%,9.64%,3.48%,24.60%,49.65%,38.35%,6.21,2.14,38.5,67
hard,107,Facundo Diaz Acosta,5,41.14%,39.68%,4.57%,5.43%,31.84%,53.69%,40.00%,7,2.88,485,575.8
hard,333,Facundo Mena,7,32.63%,32.90%,7.87%,3.45%,25.00%,44.78%,32.35%,6.28,2.05,369,379.9
hard,326,Fajing Sun,47,38.20%,39.61%,10.32%,4.43%,28.87%,51.66%,39.05%,6.56,2.51,335,419.1
hard,514,Fares Zakaria,5,30.09%,31.68%,13.79%,4.08%,17.39%,47.41%,35.29%,6.25,1.88,315,413.4
hard,174,Federico Agustin Gomez,14,37.70%,37.09%,4.28%,3.49%,31.58%,48.11%,38.46%,6.7,2.53,370.5,466.2
hard,476,Federico Arnaboldi,5,37.04%,39.84%,10.88%,2.55%,29.28%,49.11%,36.59%,6.17,2.29,207,186
hard,178,Federico Cina,21,39.17%,38.56%,5.26%,4.29%,30.48%,53.06%,40.00%,6.51,2.55,300,320.1
hard,601,Federico Iannaccone,5,43.09%,40.67%,4.61%,7.24%,38.46%,48.89%,65.52%,5.96,2.57,439,624.8
hard,29,Felix Auger-Aliassime,49,35.89%,36.55%,7.20%,3.11%,29.14%,47.85%,37.86%,6.58,2.36,44,60.7
hard,218,Felix Gill,13,35.40%,36.34%,8.67%,3.47%,27.93%,48.15%,25.24%,6.64,2.35,275,254.2
hard,81,Filip Misolic,8,35.15%,36.15%,9.84%,4.01%,28.00%,47.74%,21.15%,6.78,2.38,62.5,133.1
hard,547,Filip Peliwo,9,34.02%,33.83%,7.85%,4.30%,24.55%,49.27%,36.36%,6.22,2.12,322,332.2
hard,303,Filippo Romano,9,35.96%,35.39%,3.18%,2.63%,27.71%,50.57%,37.50%,6.57,2.36,401,423.2
hard,10,Flavio Cobolli,37,34.79%,35.52%,7.60%,3.05%,26.55%,47.54%,35.90%,6.4,2.23,52,70.3
hard,247,Florent Bax,25,35.58%,34.33%,6.40%,5.24%,26.94%,48.42%,34.48%,6.5,2.31,354.5,363.8
hard,23,Frances Tiafoe,33,35.00%,38.45%,14.02%,3.15%,25.93%,51.02%,47.02%,6.18,2.16,53,70.4
hard,161,Francesco Maestrelli,19,35.28%,35.86%,5.70%,2.29%,28.42%,48.28%,41.84%,6.29,2.22,251,274.8
hard,219,Francesco Passaro,18,33.03%,33.33%,9.61%,4.35%,23.60%,48.09%,35.90%,6.34,2.09,238.5,266.3
hard,25,Francisco Cerundolo,25,37.80%,37.80%,6.00%,3.65%,30.14%,50.00%,41.92%,6.33,2.39,45,63.6
hard,107,Francisco Comesana,14,35.14%,35.29%,7.53%,3.86%,27.46%,49.86%,44.12%,6.2,2.18,49,84.6
hard,235,Frederico Ferreira Silva,31,42.47%,42.85%,6.53%,4.24%,35.02%,54.20%,43.53%,6.68,2.84,265,336.2
hard,,Gabriel Debru,5,42.30%,40.10%,2.07%,5.06%,35.36%,52.91%,41.07%,6.49,2.75,507,475.2
hard,87,Gabriel Diallo,27,33.32%,33.19%,7.04%,3.69%,26.15%,46.72%,43.22%,6.28,2.09,71,174.6
hard,404,Gabriele Piraino,6,35.25%,35.55%,8.87%,4.43%,26.13%,51.22%,50.00%,6.26,2.21,251.5,276.3
hard,305,Gael Monfils,10,37.59%,37.56%,5.97%,3.63%,31.61%,46.99%,40.00%,6.52,2.45,77,78.8
hard,381,Garrett Johns,20,36.97%,36.70%,6.01%,3.91%,30.95%,45.85%,35.21%,6.59,2.44,313,344.4
hard,167,Gauthier Onclin,25,40.33%,42.30%,10.67%,4.42%,30.05%,55.37%,39.55%,6.76,2.72,251,300.2
hard,414,Geoffrey Blancaneaux,14,34.50%,36.11%,8.26%,2.15%,27.82%,47.65%,41.07%,6.23,2.15,220,233.8
hard,247,George Loffhagen,11,40.31%,40.96%,6.03%,3.08%,34.14%,51.06%,40.00%,6.55,2.64,276,300.2
hard,1156,Gijs Brouwer,6,41.04%,42.32%,7.27%,3.12%,32.54%,57.14%,36.36%,6.64,2.72,420,395.8
hard,258,Giles Hussey,27,39.68%,38.26%,4.58%,5.14%,32.65%,50.50%,44.32%,6.25,2.48,395,516.1
hard,227,Gilles Arnaud Bailly,14,38.15%,39.21%,8.73%,3.88%,30.53%,51.01%,50.00%,5.95,2.27,293.5,322.6
hard,91,Giovanni Mpetshi Perricard,28,25.70%,26.21%,9.72%,2.76%,21.42%,33.64%,28.09%,5.92,1.52,51.5,80.4
hard,153,Giulio Zeppieri,16,34.09%,34.56%,8.69%,3.87%,27.09%,46.81%,38.46%,6.16,2.1,187,251.5
hard,173,Gonzalo Bueno,5,36.63%,35.06%,5.28%,5.28%,26.20%,53.45%,36.67%,6.31,2.31,196,386.2
hard,138,Grigor Dimitrov,9,33.09%,33.57%,10.53%,4.60%,23.92%,50.21%,36.17%,6.18,2.05,56,57.1
hard,568,Guillaume Dalmasso,6,31.82%,27.10%,6.17%,8.77%,22.47%,44.62%,32.00%,5.92,1.88,509,496.3
hard,222,Guy Den Ouden,11,39.80%,40.43%,5.60%,2.74%,30.82%,52.91%,47.83%,6.87,2.74,281,329
hard,73,Hamad Medjedovic,13,30.35%,34.22%,16.54%,2.72%,19.94%,46.31%,29.82%,6.31,1.91,52,74.5
hard,332,Hamish Stewart,24,38.32%,37.05%,3.79%,4.24%,31.82%,48.70%,37.06%,6.77,2.59,384,515.1
hard,255,Harold Mayot,32,41.69%,41.47%,5.43%,4.23%,34.29%,53.17%,40.82%,6.89,2.87,300,369
hard,201,Harry Wendelken,40,44.00%,45.03%,7.22%,4.05%,35.76%,57.70%,42.56%,6.69,2.95,314,335.7
hard,309,Hayato Matsuoka,42,37.92%,37.98%,5.67%,3.37%,29.51%,50.93%,38.83%,6.64,2.52,352,376.3
hard,211,Henri Squire,9,33.57%,36.30%,10.53%,1.71%,27.02%,45.90%,35.56%,6.57,2.21,304,288.1
hard,125,Henrique Rocha,16,37.95%,37.19%,4.91%,4.11%,31.42%,47.96%,42.31%,6.12,2.32,246,285.1
hard,430,Henry Bernet,6,33.11%,32.23%,7.95%,5.08%,24.91%,45.11%,38.46%,6.12,2.03,154.5,163.2
hard,217,Henry Searle,9,34.20%,34.70%,6.32%,2.59%,27.85%,45.50%,33.33%,6.43,2.2,334,328.7
hard,442,Hikaru Shiraishi,7,35.56%,36.36%,9.40%,4.10%,26.90%,50.23%,44.44%,6.36,2.26,398,327.9
hard,507,Hiroki Moriya,18,39.42%,41.83%,9.35%,2.59%,31.87%,51.80%,39.85%,6.65,2.62,330.5,395.1
hard,11,Holger Rune,13,39.19%,40.69%,8.05%,2.99%,32.29%,51.38%,40.59%,6.74,2.64,63,70.3
hard,72,Hubert Hurkacz,18,33.09%,33.61%,8.20%,3.37%,26.92%,43.16%,34.57%,6.24,2.06,50.5,60.3
hard,96,Hugo Gaston,32,40.38%,40.70%,7.63%,4.69%,30.58%,56.18%,41.25%,6.37,2.57,179,194.1
hard,221,Hugo Grenier,27,37.50%,38.27%,7.21%,3.22%,31.69%,47.05%,44.00%,6.28,2.36,261,277
hard,646,Hyeon Chung,18,41.58%,41.76%,6.20%,4.13%,31.96%,54.71%,40.94%,7.06,2.94,295.5,342.1
hard,263,Hynek Barton,16,39.94%,38.32%,2.63%,4.26%,33.12%,50.29%,36.09%,6.87,2.74,241.5,337.9
hard,310,Igor Marcondes,7,38.84%,37.43%,6.74%,6.28%,33.21%,47.88%,47.06%,6.42,2.49,227,238.4
hard,297,Ilia Simakin,40,38.24%,37.69%,5.17%,4.01%,30.83%,50.47%,42.58%,6.47,2.47,324.5,379.3
hard,402,Ilya Ivashka,24,41.78%,41.84%,6.48%,4.56%,33.56%,54.62%,39.23%,6.88,2.88,341,394.8
hard,272,Inaki Montes-De La Torre,15,40.95%,40.10%,4.57%,4.48%,34.64%,51.23%,41.96%,6.62,2.71,307,332.1
hard,351,Ioannis Xilas,14,42.65%,40.58%,3.73%,6.03%,34.48%,55.12%,44.23%,6.76,2.88,313,380.4
hard,263,Ivan Gakhov,9,35.09%,36.36%,10.23%,3.84%,22.54%,53.31%,45.10%,6.18,2.17,327,349
hard,563,Ivan Ivanov,5,34.38%,35.80%,8.66%,2.62%,32.92%,36.88%,36.00%,6.35,2.18,220,237
hard,360,Ivan Marrero Curbelo,9,40.45%,41.29%,7.76%,4.03%,31.80%,54.26%,38.89%,6.63,2.68,359,849.4
hard,585,Izan Almazan Valiente,5,37.37%,37.22%,5.67%,3.61%,30.68%,49.64%,36.59%,6.69,2.5,271,288.6
hard,285,J.J. Wolf,12,39.16%,40.23%,10.94%,5.58%,29.31%,51.71%,45.33%,6.61,2.59,258.5,281.1
hard,143,Jack Draper,11,35.27%,37.30%,11.38%,3.53%,28.03%,49.17%,40.91%,6.46,2.28,67,83.8
hard,389,Jack Kennedy,7,40.75%,42.13%,11.85%,6.24%,27.84%,57.69%,45.83%,6.41,2.61,276,305
hard,172,Jack Pinnington Jones,27,38.67%,40.01%,9.08%,3.81%,29.66%,52.50%,51.85%,6.15,2.38,251,281.1
hard,110,Jacob Fearnley,30,38.00%,38.44%,7.34%,3.88%,29.87%,50.29%,42.19%,6.54,2.49,130.5,153.8
hard,304,Jacopo Berrettini,7,39.74%,38.82%,4.70%,4.49%,32.87%,50.55%,36.17%,6.59,2.62,304,308.3
hard,79,Jaime Faria,12,38.40%,38.22%,6.78%,4.49%,31.90%,49.85%,38.89%,6.53,2.51,129,138.2
hard,503,Jake Delaney,10,29.50%,30.49%,9.29%,2.65%,23.57%,40.25%,24.32%,6.11,1.8,402.5,432.5
hard,16,Jakub Mensik,39,36.61%,37.25%,6.83%,3.03%,29.62%,48.24%,36.43%,6.57,2.41,50,81.6
hard,86,James Duckworth,40,35.38%,36.68%,9.59%,3.51%,26.96%,48.91%,34.68%,6.45,2.28,171,217
hard,239,James McCabe,39,35.65%,34.61%,4.26%,3.84%,30.35%,45.28%,36.09%,6.44,2.29,341,397.5
hard,442,James Trotter,22,33.25%,32.91%,6.49%,3.70%,27.88%,42.43%,31.62%,6.41,2.13,337.5,380.7
hard,717,James Watt,5,36.74%,35.58%,5.25%,4.70%,32.75%,43.61%,28.57%,6.83,2.51,198,287.8
hard,77,Jan Choinski,9,31.53%,35.09%,14.12%,2.14%,24.29%,42.60%,40.00%,6.1,1.92,150,176.7
hard,43,Jan-Lennard Struff,29,35.33%,36.60%,10.29%,3.93%,26.33%,50.16%,34.69%,6.47,2.29,83,116.7
hard,1,Jannik Sinner,46,41.20%,42.16%,7.72%,3.97%,32.89%,56.21%,42.98%,6.62,2.73,23,30.3
hard,1107,Jason Jung,9,37.23%,37.68%,8.31%,4.31%,30.45%,48.37%,46.30%,6.31,2.35,346,343.2
hard,179,Jason Kubler,9,35.70%,36.38%,11.03%,5.23%,25.60%,52.22%,42.11%,6.08,2.17,313,373
hard,43,Jaume Munar,27,36.50%,36.90%,7.26%,3.60%,28.21%,50.07%,43.64%,6.25,2.28,33,55.7
hard,457,Javier Barranco Cosano,7,38.16%,38.54%,4.83%,2.42%,32.31%,48.05%,38.46%,6.27,2.39,264,439.3
hard,238,Jay Clarke,19,37.99%,38.33%,6.01%,3.18%,31.35%,48.85%,39.23%,6.55,2.49,446,499.6
hard,314,Jay Friend,29,38.72%,37.51%,5.03%,4.95%,29.45%,52.12%,37.56%,6.84,2.65,334,332.5
hard,74,Jenson Brooksby,26,37.11%,37.57%,6.67%,3.29%,28.65%,51.68%,36.42%,6.58,2.44,35,82.5
hard,205,Jerome Kym,11,34.32%,36.98%,12.25%,2.97%,26.12%,50.67%,32.86%,5.84,2.01,120,178.3
hard,105,Jesper de Jong,17,34.85%,36.55%,9.91%,3.04%,26.19%,48.95%,46.15%,6.32,2.2,64,140.8
hard,450,Jie Cui,23,36.18%,36.90%,10.67%,5.10%,26.87%,50.89%,40.82%,6.34,2.29,327,382.1
hard,14,Jiri Lehecka,39,36.47%,37.30%,8.82%,3.91%,28.96%,49.53%,33.59%,6.6,2.4,47,84
hard,26,Joao Fonseca,22,36.04%,36.53%,9.03%,4.42%,26.87%,51.19%,43.90%,6.31,2.28,24,41
hard,182,Joel Schwaerzler,22,34.99%,35.51%,7.75%,3.45%,25.72%,49.46%,36.84%,6.31,2.21,366,393.3
