surface,ranking,player_name,matches_played,dominance_ratio,points,total_points_won_pct,tiebreaks_played,tiebreak_record,tiebreak_win_pct,tiebreaks_per_set,sets_played,set_record,set_win_pct,games_played,game_record,game_win_pct,time_per_match,minutes_per_set,seconds_per_point
clay,178,Gauthier Onclin,11,1.033,1802,49.56%,6,2-4,33.33%,0.207,29,13-16,44.83%,280,138-142,49.29%,,,
clay,200,Genaro Alberto Olivieri,46,0.913,6778,48.69%,11,7-4,63.64%,0.098,112,52-60,46.43%,1038,493-545,47.50%,,,
clay,390,Geoffrey Blancaneaux,14,0.924,1849,48.19%,3,2-1,66.67%,0.091,33,13-20,39.39%,286,128-158,44.76%,,,
clay,247,George Loffhagen,6,1.058,893,49.27%,3,1-2,33.33%,0.231,13,4-9,30.77%,137,64-73,46.72%,,,
clay,632,Gerard Campana Lee,12,0.836,1759,46.96%,5,2-3,40.00%,0.172,29,11-18,37.93%,278,122-156,43.88%,,,
clay,196,Gianluca Cadenasso,33,1.121,4500,51.36%,5,3-2,60.00%,0.065,77,43-34,55.84%,702,371-331,52.85%,,,
clay,435,Gianmarco Ferrari,5,0.914,746,50.54%,2,2-0,100.00%,0.167,12,7-5,58.33%,115,61-54,53.04%,,,
clay,230,Gilles Arnaud Bailly,23,0.975,3452,49.22%,3,1-2,33.33%,0.054,56,23-33,41.07%,522,248-274,47.51%,,,
clay,454,Giovanni Fonio,5,0.936,838,49.64%,3,1-2,33.33%,0.231,13,6-7,46.15%,130,64-66,49.23%,,,
clay,91,Giovanni Mpetshi Perricard,7,0.862,1157,48.40%,3,1-2,33.33%,0.167,18,7-11,38.89%,182,88-94,48.35%,,,
clay,160,Gonzalo Bueno,62,0.939,8590,49.38%,14,10-4,71.43%,0.097,144,76-68,52.78%,1328,652-676,49.10%,,,
clay,320,Gonzalo Villanueva,41,0.940,5727,48.89%,7,2-5,28.57%,0.074,95,39-56,41.05%,881,420-461,47.67%,,,
clay,146,Grigor Dimitrov,6,0.867,833,45.62%,3,1-2,33.33%,0.214,14,3-11,21.43%,140,60-80,42.86%,,,
clay,223,Guido Ivan Justo,67,1.088,9062,51.51%,18,10-8,55.56%,0.118,152,88-64,57.89%,1410,744-666,52.77%,,,
clay,141,Gustavo Heide,43,1.245,5876,52.96%,9,8-1,88.89%,0.091,99,68-31,68.69%,905,510-395,56.35%,,,
clay,1036,Guto Miguel,5,1.176,677,50.96%,2,1-1,50.00%,0.182,11,6-5,54.55%,105,54-51,51.43%,,,
clay,195,Guy Den Ouden,25,1.043,3488,50.49%,6,5-1,83.33%,0.102,59,29-30,49.15%,535,273-262,51.03%,,,
