surface,ranking,player_name,matches_played,dominance_ratio,points,total_points_won_pct,tiebreaks_played,tiebreak_record,tiebreak_win_pct,tiebreaks_per_set,sets_played,set_record,set_win_pct,games_played,game_record,game_win_pct,time_per_match,minutes_per_set,seconds_per_point
clay,46,Mariano Navone,40,1.199,5833,52.44%,7,4-3,57.14%,0.074,95,59-36,62.11%,891,495-396,55.56%,,,
clay,182,Marin Cilic,9,0.906,1234,48.38%,2,0-2,0.00%,0.100,20,6-14,30.00%,194,87-107,44.85%,,,
clay,189,Mark Lajal,6,1.056,899,51.84%,1,0-1,0.00%,0.067,15,9-6,60.00%,150,80-70,53.33%,,,
clay,348,Marko Topo,21,0.899,3075,48.23%,7,3-4,42.86%,0.135,52,20-32,38.46%,494,224-270,45.34%,,,
clay,326,Martin Damm,8,0.818,1154,47.92%,6,4-2,66.67%,0.333,18,8-10,44.44%,187,87-100,46.52%,,,
clay,261,Martin Krumich,30,1.089,4737,50.56%,8,3-5,37.50%,0.107,75,39-36,52.00%,727,369-358,50.76%,,,
clay,143,Martin Landaluce,21,1.026,3654,50.77%,7,2-5,28.57%,0.123,57,31-26,54.39%,553,287-266,51.90%,,,
clay,372,Marvin Moeller,13,1.086,1956,50.92%,6,5-1,83.33%,0.194,31,20-11,64.52%,301,160-141,53.16%,,,
clay,254,Matej Dodig,28,1.035,4185,50.16%,9,4-5,44.44%,0.129,70,36-34,51.43%,666,335-331,50.30%,,,
clay,548,Mateus Alves,12,0.834,1659,47.50%,3,1-2,33.33%,0.107,28,10-18,35.71%,255,112-143,43.92%,,,
clay,297,Matheus Pucinelli De Almeida,38,1.179,5490,52.97%,12,4-8,33.33%,0.132,91,52-39,57.14%,849,469-380,55.24%,,,
clay,377,Mathys Erhard,31,1.019,4189,50.32%,14,6-8,42.86%,0.206,68,33-35,48.53%,660,333-327,50.45%,,,
clay,296,Matias Soto,42,0.972,5927,50.03%,15,10-5,66.67%,0.156,96,53-43,55.21%,904,456-448,50.44%,,,
clay,35,Matteo Arnaldi,17,1.093,3467,51.34%,15,8-7,53.33%,0.288,52,32-20,61.54%,533,282-251,52.91%,,,
clay,35,Matteo Berrettini,22,1.126,3470,51.07%,12,7-5,58.33%,0.218,55,30-25,54.55%,557,287-270,51.53%,,,
clay,280,Matteo Martineau,14,0.873,1857,48.25%,4,1-3,25.00%,0.129,31,10-21,32.26%,292,132-160,45.21%,,,
clay,101,Mattia Bellucci,18,0.971,2526,49.76%,7,5-2,71.43%,0.175,40,22-18,55.00%,397,199-198,50.13%,,,
clay,700,Matyas Cerny,7,1.101,1040,48.85%,4,2-2,50.00%,0.222,18,8-10,44.44%,160,75-85,46.88%,,,
clay,704,Matyas Fuele,5,0.850,782,49.10%,0,0-0,,0.000,13,6-7,46.15%,123,59-64,47.97%,,,
clay,181,Max Alcala Gurri,30,1.356,4041,53.97%,9,4-5,44.44%,0.132,68,45-23,66.18%,625,363-262,58.08%,,,
clay,1378,Max Dahlin,5,1.013,907,49.17%,2,2-0,100.00%,0.143,14,8-6,57.14%,147,72-75,48.98%,,,
clay,339,Max Hans Rehberg,17,1.185,2475,51.76%,5,1-4,20.00%,0.122,41,22-19,53.66%,407,216-191,53.07%,,,
clay,241,Max Houkes,26,1.013,3741,49.64%,12,7-5,58.33%,0.200,60,29-31,48.33%,572,281-291,49.13%,,,
clay,310,Max Schoenhaus,14,1.026,2098,49.62%,6,4-2,66.67%,0.176,34,17-17,50.00%,335,168-167,50.15%,,,
clay,554,Max Wiskandt,6,0.923,785,49.04%,1,1-0,100.00%,0.077,13,5-8,38.46%,120,56-64,46.67%,,,
clay,304,Maxim Mrva,29,0.937,4679,48.45%,16,6-10,37.50%,0.225,71,29-42,40.85%,717,338-379,47.14%,,,
clay,488,Maxime Chazal,5,0.740,754,46.15%,1,0-1,0.00%,0.083,12,3-9,25.00%,114,48-66,42.11%,,,
clay,832,Maximilian Neuchrist,6,0.917,1006,46.82%,6,5-1,83.33%,0.375,16,6-10,37.50%,165,70-95,42.42%,,,
clay,625,Maximo Zeitune,11,0.850,1531,46.77%,4,2-2,50.00%,0.154,26,7-19,26.92%,244,102-142,41.80%,,,
clay,298,Mert Alkaya,7,1.044,921,50.71%,1,1-0,100.00%,0.067,15,8-7,53.33%,140,73-67,52.14%,,,
clay,342,Michael Geerts,5,0.873,716,48.74%,3,1-2,33.33%,0.250,12,4-8,33.33%,115,53-62,46.09%,,,
clay,187,Michael Mmoh,5,0.935,662,50.15%,2,2-0,100.00%,0.182,11,6-5,54.55%,107,55-52,51.40%,,,
clay,267,Michele Ribecai,24,0.951,3435,50.01%,5,2-3,40.00%,0.086,58,31-27,53.45%,535,276-259,51.59%,,,
clay,286,Miguel Damas,39,0.925,5610,49.36%,15,9-6,60.00%,0.167,90,43-47,47.78%,850,414-436,48.71%,,,
clay,473,Miguel Tobon,21,0.856,3038,47.50%,8,5-3,62.50%,0.160,50,18-32,36.00%,466,208-258,44.64%,,,
clay,415,Mika Brunold,15,0.933,2259,49.36%,5,4-1,80.00%,0.143,35,17-18,48.57%,343,165-178,48.10%,,,
clay,434,Mika Petkovic,7,0.667,962,45.63%,2,1-1,50.00%,0.125,16,4-12,25.00%,154,64-90,41.56%,,,
clay,352,Mili Poljicak,31,1.080,4375,50.54%,10,6-4,60.00%,0.137,73,41-32,56.16%,688,353-335,51.31%,,,
clay,461,Milos Karol,10,0.952,1660,49.64%,4,1-3,25.00%,0.148,27,13-14,48.15%,263,133-130,50.57%,,,
clay,55,Miomir Kecmanovic,15,1.161,2267,52.05%,4,2-2,50.00%,0.103,39,22-17,56.41%,364,192-172,52.75%,,,
clay,364,Mitchell Krueger,7,0.976,1198,49.08%,6,1-5,16.67%,0.333,18,7-11,38.89%,185,90-95,48.65%,,,
clay,151,Moez Echargui,9,0.802,1238,45.80%,3,2-1,66.67%,0.143,21,5-16,23.81%,198,81-117,40.91%,,,
clay,213,Moise Kouame,8,0.906,1536,48.37%,4,2-2,50.00%,0.174,23,8-15,34.78%,226,104-122,46.02%,,,
clay,317,Murkel Dellien,41,1.062,5523,49.86%,6,4-2,66.67%,0.064,94,47-47,50.00%,830,418-412,50.36%,,,
clay,235,Nerman Fatic,23,1.000,3280,49.70%,8,4-4,50.00%,0.151,53,27-26,50.94%,514,258-256,50.19%,,,
clay,267,Nick Hardt,17,1.049,2482,51.97%,5,3-2,60.00%,0.119,42,25-17,59.52%,381,210-171,55.12%,,,
clay,131,Nicolai Budkov Kjaer,14,1.047,1736,49.65%,5,4-1,80.00%,0.172,29,14-15,48.28%,275,133-142,48.36%,,,
clay,475,Nicolas Alvarez Varona,9,0.859,1243,47.39%,2,1-1,50.00%,0.091,22,7-15,31.82%,194,84-110,43.30%,,,
clay,155,Nicolas Jarry,6,1.571,869,53.97%,4,2-2,50.00%,0.286,14,9-5,64.29%,136,77-59,56.62%,,,
clay,369,Nicolas Kicker,42,0.919,5561,49.74%,7,2-5,28.57%,0.074,95,45-50,47.37%,872,438-434,50.23%,,,
clay,223,Nicolas Mejia,26,1.213,3855,52.74%,15,11-4,73.33%,0.250,60,43-17,71.67%,587,334-253,56.90%,,,
clay,664,Nicolas Villalon,9,1.058,1439,49.97%,3,1-2,33.33%,0.130,23,12-11,52.17%,228,115-113,50.44%,,,
clay,802,Nicolas Zanellato,5,0.832,784,45.41%,2,2-0,100.00%,0.154,13,4-9,30.77%,124,50-74,40.32%,,,
clay,509,Niels McDonald,12,0.861,1723,48.87%,5,1-4,20.00%,0.192,26,10-16,38.46%,261,125-136,47.89%,,,
clay,439,Niels Visker,5,0.724,532,48.12%,1,0-1,0.00%,0.100,10,4-6,40.00%,94,43-51,45.74%,,,
clay,214,Nikolas Sanchez Izquierdo,60,1.151,8698,50.93%,24,9-15,37.50%,0.169,142,75-67,52.82%,1350,696-654,51.56%,,,
clay,133,Nikoloz Basilashvili,17,0.830,2776,48.56%,9,4-5,44.44%,0.205,44,19-25,43.18%,426,204-222,47.89%,,,
clay,148,Nishesh Basavareddy,18,1.002,2768,50.69%,7,5-2,71.43%,0.152,46,27-19,58.70%,433,224-209,51.73%,,,
clay,423,Norbert Gombos,21,0.923,2809,47.85%,6,3-3,50.00%,0.125,48,18-30,37.50%,444,199-245,44.82%,,,
clay,36,Nuno Borges,20,1.043,3120,50.64%,10,3-7,30.00%,0.200,50,25-25,50.00%,488,251-237,51.43%,,,
clay,357,Ognjen Milic,8,0.720,1229,46.95%,3,1-2,33.33%,0.143,21,8-13,38.10%,195,89-106,45.64%,,,
clay,400,Oleg Prihodko,13,0.844,1728,48.55%,3,1-2,33.33%,0.111,27,8-19,29.63%,270,123-147,45.56%,,,
clay,386,Olle Wallin,10,1.143,1429,50.73%,2,0-2,0.00%,0.083,24,12-12,50.00%,226,118-108,52.21%,,,
clay,319,Oriol Roca Batalla,12,0.933,1665,48.65%,7,3-4,42.86%,0.269,26,9-17,34.62%,268,126-142,47.01%,,,
clay,115,Otto Virtanen,14,1.177,1929,51.06%,3,2-1,66.67%,0.094,32,17-15,53.12%,315,161-154,51.11%,,,
clay,184,Pablo Carreno Busta,41,1.190,6458,51.66%,8,6-2,75.00%,0.074,108,69-39,63.89%,1022,549-473,53.72%,,,
clay,129,Pablo Llamas Ruiz,36,1.180,5140,52.20%,12,7-5,58.33%,0.143,84,55-29,65.48%,794,433-361,54.53%,,,
clay,503,Paulo Andre Saraiva Dos Santos,16,0.956,2552,48.94%,8,1-7,12.50%,0.195,41,16-25,39.02%,399,188-211,47.12%,,,
clay,243,Pavel Kotov,7,0.938,997,48.85%,2,1-1,50.00%,0.118,17,6-11,35.29%,154,71-83,46.10%,,,
clay,256,Pedro Boscardin Dias,46,0.875,6541,48.42%,15,9-6,60.00%,0.142,106,48-58,45.28%,1008,476-532,47.22%,,,
clay,148,Pedro Martinez,30,0.994,4184,49.00%,8,2-6,25.00%,0.113,71,29-42,40.85%,657,318-339,48.40%,,,
clay,496,Pedro Sakamoto,19,0.823,2775,47.57%,6,2-4,33.33%,0.136,44,15-29,34.09%,435,197-238,45.29%,,,
clay,530,Pedro Vives Marcos,5,0.794,477,49.06%,0,0-0,,0.000,9,4-5,44.44%,78,37-41,47.44%,,,
clay,787,Peter Bertran,7,0.948,973,49.13%,2,0-2,0.00%,0.118,17,7-10,41.18%,152,74-78,48.68%,,,
clay,567,Peter Fajta,5,1.008,637,50.39%,1,0-1,0.00%,0.100,10,6-4,60.00%,97,52-45,53.61%,,,
clay,285,Petr Bar Biryukov,7,0.759,1175,47.23%,6,3-3,50.00%,0.333,18,7-11,38.89%,180,81-99,45.00%,,,
clay,340,Petr Brunclik,16,1.053,2250,50.71%,5,4-1,80.00%,0.139,36,22-14,61.11%,344,178-166,51.74%,,,
clay,396,Petr Nesterov,8,1.075,1111,51.67%,1,1-0,100.00%,0.056,18,11-7,61.11%,167,92-75,55.09%,,,
clay,295,Philip Henning,9,0.870,1296,48.07%,3,1-2,33.33%,0.143,21,8-13,38.10%,194,89-105,45.88%,,,
clay,839,Pierluigi Basile,9,0.792,1329,48.23%,6,3-3,50.00%,0.273,22,10-12,45.45%,212,103-109,48.58%,,,
clay,232,Pierre-Hugues Herbert,6,0.805,1042,49.52%,4,1-3,25.00%,0.250,16,6-10,37.50%,164,79-85,48.17%,,,
clay,446,Pietro Fellin,5,0.933,587,46.51%,0,0-0,,0.000,11,3-8,27.27%,94,41-53,43.62%,,,
clay,222,Pol Martin Tiffon,32,0.951,4581,48.64%,10,5-5,50.00%,0.135,74,33-41,44.59%,702,329-373,46.87%,,,
clay,83,Quentin Halys,16,1.135,2499,51.98%,12,10-2,83.33%,0.308,39,28-11,71.79%,402,215-187,53.48%,,,
clay,519,Radu Albot,13,1.046,2027,49.43%,6,3-3,50.00%,0.194,31,15-16,48.39%,300,144-156,48.00%,,,
clay,15,Rafael Jodar,23,1.240,3641,53.86%,8,3-5,37.50%,0.129,62,44-18,70.97%,569,334-235,58.70%,,,
clay,38,Raphael Collignon,27,1.205,4062,52.76%,17,14-3,82.35%,0.262,65,48-17,73.85%,656,365-291,55.64%,,,
clay,410,Raphael Perot,5,1.145,647,48.38%,1,1-0,100.00%,0.100,10,4-6,40.00%,90,42-48,46.67%,,,
clay,231,Raul Brancaccio,31,1.067,4515,50.21%,10,5-5,50.00%,0.133,75,40-35,53.33%,699,351-348,50.21%,,,
clay,538,Reda Bennani,5,0.884,805,48.20%,2,2-0,100.00%,0.154,13,6-7,46.15%,129,59-70,45.74%,,,
clay,150,Rei Sakamoto,7,0.908,942,47.98%,2,0-2,0.00%,0.133,15,6-9,40.00%,146,67-79,45.89%,,,
clay,182,Remy Bertola,22,0.884,3112,49.29%,5,0-5,0.00%,0.098,51,23-28,45.10%,476,229-247,48.11%,,,
clay,93,Rinky Hijikata,9,0.875,1546,48.06%,2,2-0,100.00%,0.080,25,11-14,44.00%,239,112-127,46.86%,,,
clay,183,Roberto Bautista Agut,11,0.786,1463,46.96%,3,3-0,100.00%,0.115,26,10-16,38.46%,239,106-133,44.35%,,,
clay,176,Roberto Carballes Baena,34,1.085,4773,50.74%,6,2-4,33.33%,0.072,83,43-40,51.81%,746,383-363,51.34%,,,
clay,320,Rodrigo Pacheco Mendez,21,1.142,3104,50.35%,5,0-5,0.00%,0.096,52,23-29,44.23%,489,244-245,49.90%,,,
clay,152,Roman Andres Burruchaga,59,1.209,8664,52.31%,15,7-8,46.67%,0.106,141,90-51,63.83%,1324,733-591,55.36%,,,
clay,132,Roman Safiullin,23,1.137,3445,53.09%,5,4-1,80.00%,0.088,57,38-19,66.67%,542,306-236,56.46%,,,
clay,484,Rudolf Molleker,10,0.963,1602,48.06%,2,2-0,100.00%,0.080,25,10-15,40.00%,240,109-131,45.42%,,,
clay,594,Ryan Dickerson,9,0.778,1153,46.83%,1,1-0,100.00%,0.050,20,8-12,40.00%,179,77-102,43.02%,,,
clay,488,Ryan Nijboer,9,0.850,1143,47.94%,2,0-2,0.00%,0.105,19,6-13,31.58%,180,83-97,46.11%,,,
clay,750,Ryan Seggerman,7,1.133,1103,51.04%,4,1-3,25.00%,0.235,17,9-8,52.94%,169,86-83,50.89%,,,
clay,665,Saba Purtseladze,6,0.634,853,43.85%,2,0-2,0.00%,0.143,14,2-12,14.29%,128,46-82,35.94%,,,
clay,656,Samuel Alejandro Linde Palacios,10,0.677,1260,42.78%,2,1-1,50.00%,0.091,22,3-19,13.64%,189,62-127,32.80%,,,
clay,727,Samuel Heredia,11,0.864,1718,47.90%,3,2-1,66.67%,0.111,27,11-16,40.74%,259,117-142,45.17%,,,
clay,400,Samuele Pieri,14,0.881,2136,48.08%,5,2-3,40.00%,0.147,34,12-22,35.29%,333,149-184,44.74%,,,
clay,293,Sandro Kopp,31,1.030,4843,50.32%,15,5-10,33.33%,0.197,76,41-35,53.95%,749,382-367,51.00%,,,
clay,625,Santiago De La Fuente,10,0.752,1509,45.26%,2,1-1,50.00%,0.087,23,4-19,17.39%,225,90-135,40.00%,,,
clay,384,Santiago Rodriguez Taverna,35,0.944,5504,48.95%,15,8-7,53.33%,0.169,89,38-51,42.70%,866,414-452,47.81%,,,
clay,313,Sascha Gueymard Wayenburg,21,0.872,2994,48.63%,6,4-2,66.67%,0.125,48,18-30,37.50%,463,215-248,46.44%,,,
clay,341,Sean Cuenin,5,0.816,619,47.33%,5,1-4,20.00%,0.556,9,2-7,22.22%,97,43-54,44.33%,,,
clay,28,Sebastian Baez,31,1.024,4342,50.21%,8,6-2,75.00%,0.114,70,37-33,52.86%,668,331-337,49.55%,,,
clay,516,Sebastian Gima,12,0.837,1542,47.02%,3,2-1,66.67%,0.115,26,9-17,34.62%,243,108-135,44.44%,,,
clay,124,Sebastian Ofner,29,1.082,4327,51.31%,13,8-5,61.54%,0.194,67,38-29,56.72%,665,347-318,52.18%,,,
clay,302,Sergey Fomin,11,0.905,1702,49.12%,4,2-2,50.00%,0.148,27,13-14,48.15%,257,123-134,47.86%,,,
clay,452,Sergio Callejon Hernando,6,1.044,830,50.84%,2,1-1,50.00%,0.143,14,7-7,50.00%,132,68-64,51.52%,,,
clay,117,Shintaro Mochizuki,6,1.035,924,49.89%,2,1-1,50.00%,0.133,15,8-7,53.33%,142,70-72,49.30%,,,
clay,118,Stan Wawrinka,11,0.916,1906,48.37%,6,3-3,50.00%,0.207,29,9-20,31.03%,300,139-161,46.33%,,,
clay,261,Stefan Dostanic,13,0.942,1730,50.00%,3,1-2,33.33%,0.097,31,16-15,51.61%,278,139-139,50.00%,,,
clay,296,Stefan Kozlov,9,1.177,1304,50.77%,2,0-2,0.00%,0.095,21,10-11,47.62%,192,97-95,50.52%,,,
clay,411,Stefan Palosi,19,0.939,2701,48.57%,4,3-1,75.00%,0.089,45,21-24,46.67%,410,188-222,45.85%,,,
clay,229,Stefano Napolitano,28,1.147,3780,51.22%,15,8-7,53.33%,0.234,64,37-27,57.81%,609,320-289,52.55%,,,
clay,142,Stefano Travaglia,39,1.223,5832,52.25%,19,6-13,31.58%,0.209,91,55-36,60.44%,895,488-407,54.53%,,,
clay,153,Stefanos Sakellaridis,17,1.035,2599,51.17%,9,5-4,55.56%,0.220,41,25-16,60.98%,415,220-195,53.01%,,,
clay,11,Stefanos Tsitsipas,16,1.132,2660,50.90%,14,5-9,35.71%,0.341,41,23-18,56.10%,434,227-207,52.30%,,,
clay,246,Sumit Nagal,34,1.049,4934,50.77%,7,3-4,42.86%,0.087,80,45-35,56.25%,767,397-370,51.76%,,,
clay,584,Svyatoslav Gulin,10,0.912,1448,47.31%,1,1-0,100.00%,0.040,25,7-18,28.00%,223,96-127,43.05%,,,
clay,69,Tallon Griekspoor,10,0.874,1629,48.19%,4,3-1,75.00%,0.154,26,11-15,42.31%,256,121-135,47.27%,,,
clay,194,Taro Daniel,16,1.148,2221,52.09%,6,3-3,50.00%,0.167,36,23-13,63.89%,344,191-153,55.52%,,,
clay,46,Terence Atmane,11,0.872,1746,48.40%,8,4-4,50.00%,0.286,28,13-15,46.43%,290,139-151,47.93%,,,
clay,115,Thiago Agustin Tirante,40,1.104,5891,51.40%,19,9-10,47.37%,0.198,96,57-39,59.38%,951,508-443,53.42%,,,
clay,722,Thiago Cigarran,8,0.858,1190,48.07%,3,0-3,0.00%,0.158,19,7-12,36.84%,179,82-97,45.81%,,,
clay,303,Thiago Monteiro,37,1.037,5155,50.67%,16,9-7,56.25%,0.190,84,46-38,54.76%,834,425-409,50.96%,,,
clay,206,Thiago Seyboth Wild,34,1.087,4665,52.78%,7,4-3,57.14%,0.089,79,48-31,60.76%,742,411-331,55.39%,,,
clay,321,Thomas Faurel,14,0.824,2233,48.28%,7,0-7,0.00%,0.200,35,11-24,31.43%,351,162-189,46.15%,,,
clay,371,Tiago Pereira,21,0.771,2780,45.50%,4,2-2,50.00%,0.083,48,11-37,22.92%,441,172-269,39.00%,,,
clay,427,Tiago Torres,5,0.707,622,47.59%,0,0-0,,0.000,10,4-6,40.00%,92,42-50,45.65%,,,
clay,500,Tibo Colson,5,1.022,777,50.06%,2,1-1,50.00%,0.167,12,6-6,50.00%,120,58-62,48.33%,,,
clay,150,Timofey Skatov,35,0.971,5075,49.42%,12,6-6,50.00%,0.145,83,38-45,45.78%,774,373-401,48.19%,,,
clay,185,Titouan Droguet,25,1.073,3493,51.99%,9,3-6,33.33%,0.150,60,35-25,58.33%,556,297-259,53.42%,,,
clay,112,Toby Samuel,14,1.025,2132,51.03%,7,6-1,85.71%,0.200,35,21-14,60.00%,337,179-158,53.12%,,,
clay,186,Tom Gentzsch,31,1.107,4463,51.40%,10,4-6,40.00%,0.141,71,42-29,59.15%,694,370-324,53.31%,,,
clay,139,Tomas Barrios Vera,44,1.072,6375,51.23%,14,7-7,50.00%,0.137,102,60-42,58.82%,988,528-460,53.44%,,,
clay,43,Tomas Machac,11,0.963,1821,49.09%,6,5-1,83.33%,0.200,30,16-14,53.33%,293,141-152,48.12%,,,
clay,30,Tomas Martin Etcheverry,28,1.087,4289,50.57%,14,9-5,64.29%,0.197,71,39-32,54.93%,702,353-349,50.28%,,,
clay,567,Tomasz Berkieta,6,0.953,825,47.76%,2,0-2,0.00%,0.154,13,3-10,23.08%,126,56-70,44.44%,,,
clay,358,Tommaso Compagnucci,13,0.969,1797,49.08%,7,3-4,42.86%,0.241,29,14-15,48.28%,286,139-147,48.60%,,,
clay,21,Tommy Paul,16,1.069,2990,51.34%,8,5-3,62.50%,0.178,45,30-15,66.67%,457,249-208,54.49%,,,
clay,162,Tristan Boyer,20,0.964,3087,51.09%,7,5-2,71.43%,0.137,51,30-21,58.82%,481,251-230,52.18%,,,
clay,604,Tristan McCormick,5,0.876,685,49.05%,1,1-0,100.00%,0.091,11,5-6,45.45%,108,51-57,47.22%,,,
clay,148,Tristan Schoolkate,9,0.996,1394,51.15%,6,4-2,66.67%,0.273,22,14-8,63.64%,224,118-106,52.68%,,,
clay,343,Tyler Zink,6,1.183,919,50.82%,1,1-0,100.00%,0.067,15,7-8,46.67%,135,70-65,51.85%,,,
clay,173,Ugo Blanchet,5,0.684,684,47.08%,1,0-1,0.00%,0.091,11,2-9,18.18%,108,46-62,42.59%,,,
clay,28,Ugo Humbert,10,0.896,1605,49.53%,6,2-4,33.33%,0.240,25,12-13,48.00%,254,125-129,49.21%,,,
clay,203,Valentin Royer,24,0.986,3533,49.93%,6,5-1,83.33%,0.103,58,30-28,51.72%,551,275-276,49.91%,,,
clay,18,Valentin Vacherot,14,1.135,2283,52.34%,6,3-3,50.00%,0.167,36,21-15,58.33%,360,194-166,53.89%,,,
clay,442,Valerio Aboian,25,0.894,3541,48.74%,7,4-3,57.14%,0.123,57,28-29,49.12%,537,256-281,47.67%,,,
clay,128,Vilius Gaubas,45,0.977,7529,49.66%,23,9-14,39.13%,0.204,113,55-58,48.67%,1129,564-565,49.96%,,,
clay,125,Vit Kopriva,40,0.995,5741,50.29%,8,3-5,37.50%,0.082,97,51-46,52.58%,902,458-444,50.78%,,,
clay,215,Vitaliy Sachko,29,1.033,4365,50.31%,8,5-3,62.50%,0.113,71,35-36,49.30%,682,345-337,50.59%,,,
clay,530,Vladyslav Orlov,6,1.000,891,47.03%,1,0-1,0.00%,0.067,15,3-12,20.00%,141,57-84,40.43%,,,
clay,801,Wilson Leite,5,0.794,569,45.34%,0,0-0,,0.000,11,3-8,27.27%,91,37-54,40.66%,,,
clay,98,Yannick Hanfmann,23,1.163,3561,51.14%,16,8-8,50.00%,0.291,55,31-24,56.36%,575,302-273,52.52%,,,
clay,106,Yibing Wu,11,1.189,1690,52.19%,3,2-1,66.67%,0.111,27,18-9,66.67%,269,149-120,55.39%,,,
clay,222,Yu Hsiou Hsu,5,0.926,721,48.40%,1,1-0,100.00%,0.077,13,7-6,53.85%,115,54-61,46.96%,,,
clay,165,Zachary Svajda,8,0.881,1557,48.55%,6,3-3,50.00%,0.231,26,12-14,46.15%,256,120-136,46.88%,,,
clay,154,Zdenek Kolar,67,1.112,9118,51.28%,17,7-10,41.18%,0.113,151,88-63,58.28%,1408,749-659,53.20%,,,
clay,156,Zhizhen Zhang,7,0.721,1016,46.75%,4,0-4,0.00%,0.235,17,4-13,23.53%,163,70-93,42.94%,,,
clay,34,Zizou Bergs,15,1.010,2032,50.10%,1,0-1,0.00%,0.029,35,16-19,45.71%,331,165-166,49.85%,,,
clay,119,Zsombor Piros,31,1.068,4279,52.35%,9,5-4,55.56%,0.123,73,48-25,65.75%,682,384-298,56.30%,,,
grass,91,Adam Walton,8,1.184,1254,51.99%,3,1-2,33.33%,0.150,20,12-8,60.00%,204,109-95,53.43%,,,
grass,73,Adrian Mannarino,11,1.040,1648,50.12%,6,4-2,66.67%,0.214,28,14-14,50.00%,273,134-139,49.08%,,,
grass,265,Alastair Gray,5,1.469,611,54.17%,0,0-0,,0.000,10,6-4,60.00%,94,53-41,56.38%,,,
grass,20,Alejandro Davidovich Fokina,12,1.435,1999,53.33%,9,7-2,77.78%,0.281,32,24-8,75.00%,324,179-145,55.25%,,,
grass,41,Alex Michelsen,5,1.193,805,52.30%,2,1-1,50.00%,0.154,13,8-5,61.54%,122,66-56,54.10%,,,
grass,7,Alex de Minaur,11,1.307,1759,54.06%,5,3-2,60.00%,0.179,28,20-8,71.43%,272,160-112,58.82%,,,
grass,11,Alexander Bublik,8,1.228,1605,50.78%,9,6-3,66.67%,0.360,25,13-12,52.00%,267,134-133,50.19%,,,
grass,3,Alexander Zverev,11,1.450,2169,52.93%,12,10-2,83.33%,0.353,34,26-8,76.47%,363,202-161,55.65%,,,
grass,200,Alexis Galarneau,8,1.043,1402,50.00%,5,5-0,100.00%,0.227,22,13-9,59.09%,222,111-111,50.00%,,,
grass,114,Arthur Fery,15,1.116,2948,51.19%,11,7-4,63.64%,0.234,47,29-18,61.70%,471,251-220,53.29%,,,
grass,127,Arthur Gea,7,0.970,1121,51.03%,4,3-1,75.00%,0.222,18,10-8,55.56%,182,95-87,52.20%,,,
grass,29,Arthur Rinderknech,5,1.242,1051,52.24%,7,3-4,42.86%,0.438,16,8-8,50.00%,179,92-87,51.40%,,,
grass,227,August Holmgren,5,1.026,680,48.82%,2,2-0,100.00%,0.182,11,5-6,45.45%,107,50-57,46.73%,,,
grass,10,Ben Shelton,8,1.012,1689,50.80%,10,5-5,50.00%,0.400,25,15-10,60.00%,277,143-134,51.62%,,,
grass,70,Benjamin Bonzi,7,1.108,1040,51.44%,2,1-1,50.00%,0.105,19,10-9,52.63%,175,90-85,51.43%,,,
grass,155,Billy Harris,8,1.023,1536,48.89%,9,4-5,44.44%,0.409,22,9-13,40.91%,240,114-126,47.50%,,,
grass,31,Brandon Nakashima,6,1.243,1165,52.79%,6,3-3,50.00%,0.353,17,12-5,70.59%,183,102-81,55.74%,,,
grass,64,Christopher O'Connell,7,1.282,1081,51.80%,6,4-2,66.67%,0.375,16,11-5,68.75%,175,93-82,53.14%,,,
grass,204,Clement Chidekh,8,1.330,1294,51.47%,2,1-1,50.00%,0.100,20,11-9,55.00%,198,106-92,53.54%,,,
grass,69,Corentin Moutet,5,0.854,837,47.67%,2,1-1,50.00%,0.154,13,3-10,23.08%,138,61-77,44.20%,,,
grass,121,Dane Sweeny,6,0.965,1059,49.58%,5,2-3,40.00%,0.333,15,7-8,46.67%,160,78-82,48.75%,,,
grass,93,Daniel Altmaier,8,0.868,1316,49.32%,3,1-2,33.33%,0.143,21,10-11,47.62%,210,102-108,48.57%,,,
grass,6,Daniil Medvedev,9,1.332,1608,52.36%,5,2-3,40.00%,0.200,25,15-10,60.00%,249,135-114,54.22%,,,
grass,226,Darwin Blanch,7,0.842,1224,49.26%,5,3-2,60.00%,0.263,19,9-10,47.37%,194,94-100,48.45%,,,
grass,47,Ethan Quinn,9,1.131,1476,51.42%,4,1-3,25.00%,0.167,24,14-10,58.33%,245,130-115,53.06%,,,
grass,61,Fabian Marozsan,9,0.852,1415,48.62%,3,2-1,66.67%,0.130,23,12-11,52.17%,223,108-115,48.43%,,,
grass,29,Felix Auger-Aliassime,10,1.168,2036,52.31%,11,5-6,45.45%,0.344,32,21-11,65.62%,334,185-149,55.39%,,,
grass,220,Felix Gill,10,0.874,1760,48.41%,8,3-5,37.50%,0.296,27,11-16,40.74%,275,131-144,47.64%,,,
grass,300,Filippo Romano,8,0.829,1433,49.97%,4,3-1,75.00%,0.182,22,12-10,54.55%,220,113-107,51.36%,,,
grass,9,Flavio Cobolli,6,0.865,1375,48.65%,9,6-3,66.67%,0.429,21,12-9,57.14%,216,107-109,49.54%,,,
grass,20,Frances Tiafoe,11,1.131,1991,52.24%,7,4-3,57.14%,0.226,31,22-9,70.97%,319,178-141,55.80%,,,
grass,23,Francisco Cerundolo,6,0.964,1117,50.31%,4,1-3,25.00%,0.235,17,10-7,58.82%,169,90-79,53.25%,,,
