surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,132,Alexandre Muller,36,36.69%,62,169,0.42,1.97,4.69,0.72,1.72,61.23%,169,276,0.67,3.21,7.67,1.24,2.97
all,25,Alexei Popyrin,35,32.93%,54,164,0.39,1.89,4.69,0.62,1.54,52.57%,92,175,0.42,2.01,5,0.95,2.37
all,413,Alexey Vatutin,9,40.98%,25,61,0.58,2.77,6.78,1.14,2.78,65.22%,60,92,0.9,4.18,10.22,1.45,3.56
all,200,Alexis Galarneau,56,41.05%,156,380,0.58,2.81,6.79,1.16,2.79,60.75%,243,400,0.6,2.96,7.14,1.16,2.8
all,409,Alfredo Perez,17,37.50%,39,104,0.56,2.74,6.12,1.03,2.29,65.42%,70,107,0.59,2.82,6.29,0.97,2.18
all,272,Alvaro Guillen Meza,61,42.70%,228,534,0.75,3.61,8.75,1.54,3.74,54.12%,256,473,0.68,3.2,7.75,1.47,3.56
all,725,Amit Vales,6,35.71%,15,42,0.69,3,7,1.07,2.5,51.35%,19,37,0.63,2.64,6.17,1.29,3
all,248,Andre Ilagan,53,41.94%,164,391,0.62,3.05,7.38,1.28,3.09,64.83%,282,435,0.7,3.4,8.21,1.2,2.89
all,304,Andrea Collarini,35,43.64%,127,291,0.74,3.46,8.31,1.51,3.63,54.65%,141,258,0.65,3.07,7.37,1.39,3.34
all,227,Andrea Guerrieri,28,43.97%,102,232,0.73,3.57,8.29,1.57,3.64,59.17%,142,240,0.77,3.69,8.57,1.51,3.5
all,137,Andrea Pellegrino,41,41.90%,119,284,0.62,2.87,6.93,1.2,2.9,56.49%,148,262,0.57,2.65,6.39,1.15,2.78
all,393,Andrea Picchione,8,45.16%,28,62,0.76,3.44,7.75,1.56,3.5,55.10%,27,49,0.58,2.72,6.12,1.22,2.75
all,614,Andrea Vavassori,11,40.62%,26,64,0.48,2.29,5.82,0.93,2.36,68.00%,51,75,0.55,2.68,6.82,0.86,2.18
all,404,Andrej Martin,19,35.25%,43,122,0.61,2.84,6.42,1,2.26,55.26%,63,114,0.57,2.65,6,1.19,2.68
all,244,Andrej Nedic,39,50.33%,151,300,0.74,3.37,7.69,1.7,3.87,55.22%,148,268,0.67,3.01,6.87,1.35,3.08
all,223,Andres Andrade,27,40.78%,73,179,0.63,2.93,6.63,1.2,2.7,58.95%,112,190,0.68,3.11,7.04,1.28,2.89
all,381,Andres Martin,42,37.23%,105,282,0.57,2.79,6.71,1.04,2.5,57.53%,168,292,0.58,2.89,6.95,1.23,2.95
all,726,Andres Santamarta Roig,13,52.27%,46,88,0.69,3.26,6.77,1.7,3.54,57.41%,62,108,0.87,4,8.31,1.7,3.54
all,399,Andrew Fenty,17,36.47%,31,85,0.45,2.18,5,0.79,1.82,59.82%,67,112,0.58,2.87,6.59,1.15,2.65
all,642,Andrew Paulson,8,36.21%,21,58,0.67,3.05,7.25,1.11,2.62,61.29%,38,62,0.68,3.26,7.75,1.26,3
all,16,Andrey Rublev,49,37.47%,142,379,0.59,2.92,7.73,1.09,2.9,66.14%,209,316,0.5,2.43,6.45,0.82,2.18
all,262,Andy Andrade,14,48.94%,46,94,0.59,2.94,6.71,1.44,3.29,56.14%,64,114,0.73,3.56,8.14,1.56,3.57
