surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,314,Eliakim Coulibaly,41,46.97%,124,264,0.6,2.78,6.44,1.31,3.02,62.99%,177,281,0.63,2.96,6.85,1.09,2.54
all,182,Elias Ymer,30,43.02%,77,179,0.55,2.56,5.97,1.1,2.57,55.03%,104,189,0.58,2.7,6.3,1.21,2.83
all,91,Eliot Spizzirri,22,44.20%,61,138,0.48,2.3,6.27,1.02,2.77,48.94%,46,94,0.33,1.57,4.27,0.8,2.18
all,190,Elmer Moller,40,46.13%,137,297,0.74,3.41,7.42,1.57,3.42,54.97%,188,342,0.85,3.93,8.55,1.77,3.85
all,547,Emil Ruusuvuori,13,45.28%,24,53,0.32,1.61,4.08,0.73,1.85,64.79%,46,71,0.42,2.15,5.46,0.76,1.92
all,520,Emile Hudd,5,28.57%,6,21,0.38,1.75,4.2,0.5,1.2,50.00%,10,20,0.35,1.67,4,0.83,2
all,588,Emilien Demanet,6,43.14%,22,51,0.81,3.64,8.5,1.57,3.67,55.56%,20,36,0.57,2.57,6,1.14,2.67
all,86,Emilio Nava,45,36.64%,107,292,0.57,2.73,6.49,1,2.38,65.41%,208,318,0.61,2.97,7.07,1.03,2.44
all,323,Enrico Dalla Valle,39,37.05%,93,251,0.59,2.85,6.44,1.06,2.38,59.43%,126,212,0.51,2.41,5.44,0.98,2.21
all,595,Ergi Kirkin,6,40.91%,9,22,0.37,1.69,3.67,0.69,1.5,57.41%,31,54,0.89,4.15,9,1.77,3.83
all,532,Eric Vanshelboim,6,38.10%,16,42,0.66,3,7,1.14,2.67,55.81%,24,43,0.68,3.07,7.17,1.36,3.17
all,623,Erik Arutiunian,5,37.50%,9,24,0.5,2.4,4.8,0.9,1.8,62.96%,17,27,0.56,2.7,5.4,1,2
all,47,Ethan Quinn,39,34.57%,65,188,0.37,1.98,4.82,0.68,1.67,63.55%,136,214,0.42,2.25,5.49,0.82,2
all,607,Evan Zhu,6,50.00%,6,12,0.19,0.92,2,0.46,1,59.18%,29,49,0.82,3.77,8.17,1.54,3.33
all,61,Fabian Marozsan,44,31.94%,84,263,0.49,2.39,5.98,0.76,1.91,60.62%,157,259,0.48,2.35,5.89,0.93,2.32
all,351,Fabrizio Andaloro,6,43.40%,23,53,0.83,4.42,8.83,1.92,3.83,54.84%,34,62,0.97,5.17,10.33,2.33,4.67
all,431,Facundo Bagnis,6,42.86%,21,49,0.69,3.06,8.17,1.31,3.5,45.45%,15,33,0.45,2.06,5.5,1.12,3
all,107,Facundo Diaz Acosta,76,43.34%,283,653,0.76,3.55,8.59,1.54,3.72,61.16%,307,502,0.57,2.73,6.61,1.06,2.57
all,332,Facundo Mena,32,38.20%,89,233,0.65,3.11,7.28,1.19,2.78,64.73%,134,207,0.59,2.76,6.47,0.97,2.28
all,324,Fajing Sun,41,37.63%,105,279,0.62,2.94,6.8,1.11,2.56,63.43%,170,268,0.61,2.82,6.54,1.03,2.39
all,191,Federico Agustin Gomez,47,37.50%,120,320,0.6,2.81,6.81,1.05,2.55,60.59%,186,307,0.56,2.69,6.53,1.06,2.57
all,481,Federico Arnaboldi,13,29.67%,27,91,0.61,2.94,7,0.87,2.08,52.99%,62,117,0.78,3.77,9,1.77,4.23
all,346,Federico Bondioli,33,39.43%,97,246,0.61,2.93,7.45,1.15,2.94,61.11%,176,288,0.72,3.43,8.73,1.33,3.39
all,184,Federico Cina,43,45.31%,116,256,0.53,2.49,5.95,1.13,2.7,64.26%,196,305,0.63,2.96,7.09,1.06,2.53
all,779,Federico Coria,10,38.46%,25,65,0.6,2.83,6.5,1.09,2.5,60.00%,54,90,0.82,3.91,9,1.57,3.6
all,607,Federico Iannaccone,7,61.54%,24,39,0.55,2.29,5.57,1.41,3.43,46.43%,26,56,0.78,3.29,8,1.76,4.29
all,807,Felipe Meligeni Alves,14,45.33%,34,75,0.49,2.21,5.36,1,2.43,62.04%,67,108,0.7,3.18,7.71,1.21,2.93
all,29,Felix Auger-Aliassime,69,39.19%,165,421,0.47,2.39,6.1,0.94,2.39,69.00%,207,300,0.34,1.7,4.35,0.53,1.35
all,248,Felix Balshaw,19,42.28%,63,149,0.71,3.24,7.84,1.37,3.32,61.11%,66,108,0.51,2.35,5.68,0.91,2.21
all,220,Felix Gill,31,27.65%,60,217,0.56,2.68,7,0.74,1.94,63.33%,133,210,0.55,2.59,6.77,0.95,2.48
all,279,Filip Cristian Jianu,35,43.42%,99,228,0.63,2.89,6.51,1.25,2.83,60.75%,161,265,0.72,3.35,7.57,1.32,2.97
all,81,Filip Misolic,12,26.83%,22,82,0.62,3.04,6.83,0.81,1.83,61.90%,52,84,0.62,3.11,7,1.19,2.67
all,488,Filip Peliwo,7,38.46%,15,39,0.59,2.6,5.57,1,2.14,58.21%,39,67,0.99,4.47,9.57,1.87,4
all,487,Filippo Moroni,6,54.17%,26,48,0.72,3.43,8,1.86,4.33,48.28%,28,58,0.89,4.14,9.67,2.14,5
all,300,Filippo Romano,30,41.62%,72,173,0.5,2.37,5.77,0.99,2.4,64.14%,152,237,0.66,3.25,7.9,1.16,2.83
all,9,Flavio Cobolli,60,38.13%,151,396,0.52,2.52,6.6,0.96,2.52,64.19%,276,430,0.56,2.74,7.17,0.98,2.57
all,247,Florent Bax,27,32.05%,50,156,0.51,2.44,5.78,0.78,1.85,66.89%,99,148,0.47,2.31,5.48,0.77,1.81
all,292,Florian Broska,14,45.57%,36,79,0.46,2.14,5.64,0.97,2.57,61.82%,34,55,0.31,1.49,3.93,0.57,1.5
all,20,Frances Tiafoe,51,43.37%,144,332,0.47,2.35,6.51,1.02,2.82,66.57%,225,338,0.49,2.4,6.63,0.8,2.22
all,371,Francesco Forti,22,31.36%,53,169,0.69,3.31,7.68,1.04,2.41,60.93%,92,151,0.6,2.96,6.86,1.16,2.68
all,149,Francesco Maestrelli,40,36.80%,92,250,0.55,2.6,6.25,0.96,2.3,64.50%,169,262,0.58,2.73,6.55,0.97,2.33
all,220,Francesco Passaro,39,38.50%,77,200,0.43,2.15,5.13,0.83,1.97,64.05%,155,242,0.52,2.6,6.21,0.94,2.23
all,23,Francisco Cerundolo,53,40.71%,184,452,0.72,3.42,8.53,1.39,3.47,62.06%,247,398,0.65,3.02,7.51,1.14,2.85
all,91,Francisco Comesana,34,37.33%,84,225,0.5,2.47,6.62,0.92,2.47,53.50%,130,243,0.53,2.67,7.15,1.24,3.32
all,767,Francisco Rocha,6,28.57%,8,28,0.56,2.55,4.67,0.73,1.33,50.00%,20,40,0.85,3.64,6.67,1.82,3.33
all,265,Franco Agamenone,45,45.38%,172,379,0.75,3.58,8.42,1.62,3.82,60.35%,239,396,0.79,3.74,8.8,1.48,3.49
all,725,Franco Ribero,7,41.38%,12,29,0.33,1.61,4.14,0.67,1.71,56.86%,29,51,0.6,2.83,7.29,1.22,3.14
all,225,Franco Roncadelli,52,46.97%,194,413,0.76,3.44,7.94,1.62,3.73,55.08%,233,423,0.76,3.52,8.13,1.58,3.65
all,235,Frederico Ferreira Silva,67,43.03%,219,509,0.67,3.18,7.6,1.37,3.27,60.15%,314,522,0.68,3.26,7.79,1.3,3.1
all,331,Gabi Adrian Boitan,13,46.48%,33,71,0.51,2.37,5.46,1.1,2.54,51.76%,44,85,0.62,2.83,6.54,1.37,3.15
all,,Gabriel Debru,5,41.07%,23,56,0.84,4,11.2,1.64,4.6,57.58%,19,33,0.5,2.36,6.6,1,2.8
all,87,Gabriel Diallo,41,41.24%,80,194,0.39,1.9,4.73,0.78,1.95,57.46%,131,228,0.45,2.24,5.56,0.95,2.37
all,613,Gabriele Pennaforti,5,47.06%,8,17,0.31,1.55,3.4,0.73,1.6,45.71%,16,35,0.67,3.18,7,1.73,3.8
all,373,Gabriele Piraino,17,39.81%,43,108,0.57,2.63,6.35,1.05,2.53,53.85%,77,143,0.76,3.49,8.41,1.61,3.88
all,52,Gael Monfils,13,37.11%,36,97,0.57,2.62,7.46,0.97,2.77,59.63%,65,109,0.64,2.95,8.38,1.19,3.38
all,375,Garrett Johns,31,35.61%,73,205,0.6,2.93,6.61,1.04,2.35,59.91%,136,227,0.67,3.24,7.32,1.3,2.94
all,589,Gastao Elias,5,38.46%,5,13,0.25,1.08,2.6,0.42,1,56.10%,23,41,0.79,3.42,8.2,1.5,3.6
all,178,Gauthier Onclin,35,40.38%,107,265,0.69,3.27,7.57,1.32,3.06,61.02%,144,236,0.62,2.91,6.74,1.14,2.63
all,200,Genaro Alberto Olivieri,48,42.47%,155,365,0.68,3.12,7.6,1.32,3.23,57.04%,239,419,0.78,3.58,8.73,1.54,3.75
all,390,Geoffrey Blancaneaux,27,39.16%,56,143,0.52,2.27,5.3,0.89,2.07,55.90%,109,195,0.71,3.1,7.22,1.37,3.19
all,247,George Loffhagen,19,38.85%,54,139,0.65,3.09,7.32,1.2,2.84,55.65%,64,115,0.54,2.56,6.05,1.13,2.68
all,632,Gerard Campana Lee,12,41.56%,32,77,0.56,2.66,6.42,1.1,2.67,48.94%,46,94,0.69,3.24,7.83,1.66,4
all,196,Gianluca Cadenasso,33,43.40%,125,288,0.83,3.74,8.73,1.62,3.79,50.92%,111,218,0.62,2.83,6.61,1.39,3.24
all,435,Gianmarco Ferrari,6,40.00%,12,30,0.45,2.14,5,0.86,2,72.09%,31,43,0.65,3.07,7.17,0.86,2
all,1126,Gijs Brouwer,6,50.00%,16,32,0.5,2.13,5.33,1.07,2.67,46.81%,22,47,0.77,3.13,7.83,1.67,4.17
all,258,Giles Hussey,32,44.33%,90,203,0.61,2.78,6.34,1.23,2.81,54.31%,126,232,0.69,3.18,7.25,1.45,3.31
all,230,Gilles Arnaud Bailly,35,41.11%,111,270,0.68,3.1,7.71,1.28,3.17,56.30%,152,270,0.69,3.1,7.71,1.36,3.37
all,454,Giovanni Fonio,6,35.90%,14,39,0.53,2.6,6.5,0.93,2.33,60.00%,24,40,0.55,2.67,6.67,1.07,2.67
all,91,Giovanni Mpetshi Perricard,44,31.25%,55,176,0.3,1.59,4,0.5,1.25,63.86%,129,202,0.35,1.82,4.59,0.66,1.66
all,153,Giulio Zeppieri,16,38.46%,30,78,0.45,2.05,4.88,0.79,1.88,65.17%,58,89,0.51,2.34,5.56,0.82,1.94
all,160,Gonzalo Bueno,64,46.41%,220,474,0.7,3.2,7.41,1.49,3.44,56.86%,311,547,0.82,3.7,8.55,1.59,3.69
all,320,Gonzalo Villanueva,45,42.74%,156,365,0.76,3.51,8.11,1.5,3.47,54.40%,204,375,0.78,3.61,8.33,1.64,3.8
all,146,Grigor Dimitrov,24,36.81%,53,144,0.47,2.32,6,0.85,2.21,54.55%,66,121,0.39,1.95,5.04,0.89,2.29
all,223,Guido Ivan Justo,67,46.60%,247,530,0.76,3.49,7.91,1.62,3.69,55.81%,264,473,0.68,3.11,7.06,1.38,3.12
all,568,Guillaume Dalmasso,7,34.62%,9,26,0.42,1.86,3.71,0.64,1.29,46.15%,18,39,0.6,2.79,5.57,1.5,3
all,141,Gustavo Heide,46,40.89%,157,384,0.79,3.59,8.35,1.47,3.41,60.77%,158,260,0.54,2.43,5.65,0.95,2.22
all,1036,Guto Miguel,5,37.78%,17,45,0.88,4.09,9,1.55,3.4,48.39%,15,31,0.6,2.82,6.2,1.45,3.2
all,195,Guy Den Ouden,36,43.54%,118,271,0.71,3.19,7.53,1.39,3.28,55.23%,132,239,0.62,2.81,6.64,1.26,2.97
all,334,Hady Habib,16,40.37%,44,109,0.53,2.66,6.81,1.07,2.75,65.38%,85,130,0.64,3.17,8.12,1.1,2.81
all,73,Hamad Medjedovic,35,37.38%,80,214,0.48,2.4,6.11,0.9,2.29,67.09%,157,234,0.54,2.63,6.69,0.87,2.2
all,332,Hamish Stewart,26,35.71%,65,182,0.63,2.98,7,1.07,2.5,55.83%,67,120,0.42,1.97,4.62,0.87,2.04
all,255,Harold Mayot,35,37.46%,109,291,0.76,3.55,8.31,1.33,3.11,54.90%,112,204,0.54,2.49,5.83,1.12,2.63
all,205,Harry Wendelken,47,42.05%,172,409,0.76,3.59,8.7,1.51,3.66,58.76%,208,354,0.67,3.11,7.53,1.28,3.11
all,309,Hayato Matsuoka,38,38.02%,92,242,0.57,2.78,6.37,1.06,2.42,58.40%,139,238,0.56,2.74,6.26,1.14,2.61
all,214,Henri Squire,55,37.90%,155,409,0.66,3.17,7.44,1.2,2.82,61.04%,224,367,0.59,2.84,6.67,1.11,2.6
all,123,Henrique Rocha,54,46.11%,178,386,0.63,3.09,7.15,1.42,3.3,57.14%,192,336,0.55,2.69,6.22,1.15,2.67
all,408,Henry Bernet,17,38.37%,33,86,0.42,1.95,5.06,0.75,1.94,57.81%,74,128,0.62,2.91,7.53,1.23,3.18
all,273,Henry Searle,19,39.45%,43,109,0.54,2.6,5.74,1.02,2.26,71.26%,62,87,0.43,2.07,4.58,0.6,1.32
all,409,Hernan Casanova,30,46.46%,105,226,0.77,3.48,7.53,1.62,3.5,53.93%,103,191,0.66,2.94,6.37,1.35,2.93
all,442,Hikaru Shiraishi,7,44.44%,20,45,0.49,2.5,6.43,1.11,2.86,65.15%,43,66,0.75,3.67,9.43,1.28,3.29
all,507,Hiroki Moriya,18,39.85%,53,133,0.64,3.09,7.39,1.23,2.94,58.45%,83,142,0.7,3.3,7.89,1.37,3.28
all,11,Holger Rune,15,43.64%,48,110,0.58,2.97,7.33,1.3,3.2,60.76%,48,79,0.42,2.14,5.27,0.84,2.07
all,18,Hubert Hurkacz,34,36.36%,76,209,0.45,2.27,6.15,0.83,2.24,67.54%,129,191,0.4,2.08,5.62,0.67,1.82
all,143,Hugo Dellien,45,40.64%,152,374,0.76,3.53,8.31,1.43,3.38,60.98%,200,328,0.65,3.09,7.29,1.21,2.84
all,109,Hugo Gaston,54,41.44%,167,403,0.67,3.05,7.46,1.27,3.09,62.32%,253,406,0.67,3.08,7.52,1.16,2.83
all,221,Hugo Grenier,33,44.95%,98,218,0.59,2.79,6.61,1.26,2.97,60.77%,127,209,0.58,2.68,6.33,1.05,2.48
all,644,Hyeon Chung,17,43.48%,60,138,0.78,3.63,8.12,1.58,3.53,54.05%,80,148,0.85,3.89,8.71,1.79,4
all,268,Hynek Barton,54,37.78%,150,397,0.61,3.01,7.35,1.14,2.78,61.88%,211,341,0.53,2.58,6.31,0.98,2.41
all,33,Ignacio Buse,61,43.08%,196,455,0.63,2.99,7.46,1.29,3.21,62.05%,278,448,0.61,2.95,7.34,1.12,2.79
all,693,Ignacio Monzon,8,44.90%,22,49,0.64,3.06,6.12,1.38,2.75,52.86%,37,70,0.93,4.38,8.75,2.06,4.12
all,318,Igor Marcondes,24,35.23%,62,176,0.64,3.09,7.33,1.09,2.58,57.24%,83,145,0.54,2.54,6.04,1.09,2.58
all,304,Ilia Simakin,41,40.08%,97,242,0.5,2.42,5.9,0.97,2.37,63.77%,176,276,0.56,2.76,6.73,1,2.44
all,406,Ilya Ivashka,26,39.23%,71,181,0.69,3.02,6.96,1.18,2.73,62.68%,89,142,0.54,2.37,5.46,0.88,2.04
all,272,Inaki Montes-De La Torre,37,42.62%,127,298,0.75,3.43,8.05,1.46,3.43,54.55%,150,275,0.69,3.16,7.43,1.44,3.38
all,351,Ioannis Xilas,27,43.46%,93,214,0.8,3.63,7.93,1.58,3.44,49.07%,105,214,0.8,3.63,7.93,1.85,4.04
all,263,Ivan Gakhov,29,44.86%,83,185,0.57,2.72,6.38,1.22,2.86,58.57%,147,251,0.77,3.69,8.66,1.53,3.59
all,584,Ivan Ivanov,15,35.48%,22,62,0.39,1.88,4.13,0.67,1.47,61.11%,88,144,0.93,4.36,9.6,1.7,3.73
all,369,Ivan Marrero Curbelo,15,39.20%,49,125,0.84,3.68,8.33,1.44,3.27,51.16%,44,86,0.6,2.53,5.73,1.24,2.8
all,585,Izan Almazan Valiente,6,34.88%,15,43,0.65,3.07,7.17,1.07,2.5,58.14%,25,43,0.65,3.07,7.17,1.29,3
all,563,J.J. Wolf,14,45.88%,39,85,0.52,2.58,6.07,1.18,2.79,55.22%,37,67,0.41,2.03,4.79,0.91,2.14
all,143,Jack Draper,15,43.02%,37,86,0.48,2.32,5.73,1,2.47,52.73%,29,55,0.3,1.49,3.67,0.7,1.73
all,389,Jack Kennedy,16,54.07%,73,135,0.73,3.46,8.44,1.87,4.56,51.41%,73,142,0.8,3.64,8.88,1.77,4.31
all,426,Jack Loge,5,47.83%,22,46,0.7,3.29,9.2,1.57,4.4,54.72%,29,53,0.79,3.79,10.6,1.71,4.8
all,172,Jack Pinnington Jones,33,44.39%,83,187,0.53,2.53,5.67,1.12,2.52,63.16%,132,209,0.6,2.82,6.33,1.04,2.33
all,86,Jacob Fearnley,47,40.96%,145,354,0.61,2.93,7.53,1.2,3.09,56.89%,194,341,0.59,2.82,7.26,1.21,3.13
all,307,Jacopo Berrettini,14,34.02%,33,97,0.64,2.94,6.93,1,2.36,44.57%,41,92,0.63,2.79,6.57,1.55,3.64
all,362,Jacopo Vasami,25,34.88%,45,129,0.51,2.39,5.16,0.83,1.8,62.42%,103,165,0.63,3.06,6.6,1.15,2.48
all,79,Jaime Faria,54,38.08%,171,449,0.65,3.16,8.31,1.2,3.17,55.28%,199,360,0.52,2.54,6.67,1.13,2.98
all,503,Jake Delaney,11,23.68%,9,38,0.32,1.52,3.45,0.36,0.82,63.89%,46,72,0.6,2.88,6.55,1.04,2.36
all,17,Jakub Mensik,50,34.10%,133,390,0.59,2.83,7.8,0.96,2.66,62.11%,177,285,0.42,2.07,5.7,0.78,2.16
all,522,Jakub Paul,8,42.25%,30,71,0.74,3.55,8.88,1.5,3.75,61.33%,46,75,0.79,3.75,9.38,1.45,3.62
all,94,James Duckworth,56,36.42%,126,346,0.53,2.54,6.18,0.93,2.25,72.39%,236,326,0.49,2.4,5.82,0.66,1.61
all,240,James McCabe,44,37.65%,93,247,0.51,2.49,5.61,0.94,2.11,60.75%,161,265,0.54,2.68,6.02,1.05,2.36
all,442,James Trotter,24,31.71%,39,123,0.44,2.12,5.12,0.67,1.62,60.94%,78,128,0.45,2.21,5.33,0.86,2.08
all,717,James Watt,6,29.27%,12,41,0.59,2.73,6.83,0.8,2,63.64%,28,44,0.59,2.93,7.33,1.07,2.67
all,931,Jamie Mackenzie,8,38.46%,20,52,0.55,2.6,6.5,1,2.5,57.14%,24,42,0.46,2.1,5.25,0.9,2.25
all,88,Jan Choinski,63,39.41%,186,472,0.64,3.08,7.49,1.22,2.95,63.03%,237,376,0.51,2.46,5.97,0.91,2.21
all,508,Jan Kumstat,15,43.30%,42,97,0.6,2.77,6.47,1.2,2.8,61.64%,45,73,0.45,2.09,4.87,0.8,1.87
all,42,Jan-Lennard Struff,49,36.97%,122,330,0.48,2.37,6.73,0.88,2.49,61.56%,205,333,0.49,2.4,6.8,0.92,2.61
all,1,Jannik Sinner,72,42.81%,253,591,0.72,3.27,8.21,1.4,3.51,70.95%,149,210,0.25,1.16,2.92,0.34,0.85
all,1107,Jason Jung,12,40.26%,31,77,0.6,2.75,6.42,1.11,2.58,45.56%,41,90,0.7,3.21,7.5,1.75,4.08
all,179,Jason Kubler,10,42.55%,20,47,0.51,2.14,4.7,0.91,2,48.72%,19,39,0.41,1.77,3.9,0.91,2
all,43,Jaume Munar,47,42.21%,130,308,0.57,2.7,6.55,1.14,2.77,60.07%,179,298,0.54,2.61,6.34,1.04,2.53
all,373,Javier Barranco Cosano,13,48.75%,39,80,0.66,2.96,6.15,1.44,3,58.10%,61,105,0.9,3.89,8.08,1.63,3.38
all,239,Jay Clarke,51,43.50%,174,400,0.69,3.23,7.84,1.4,3.41,62.92%,224,356,0.62,2.87,6.98,1.06,2.59
all,376,Jay Friend,28,38.14%,82,215,0.64,3.12,7.68,1.19,2.93,63.16%,108,171,0.51,2.48,6.11,0.91,2.25
all,501,Jelle Sels,21,37.40%,49,131,0.66,2.85,6.24,1.07,2.33,54.44%,92,169,0.84,3.67,8.05,1.67,3.67
all,1091,Jenson Brooksby,39,37.84%,98,259,0.58,2.78,6.64,1.05,2.51,57.09%,145,254,0.57,2.73,6.51,1.17,2.79
all,198,Jerome Kym,26,32.14%,54,168,0.44,2.33,6.46,0.75,2.08,61.59%,101,164,0.43,2.28,6.31,0.88,2.42
all,98,Jesper de Jong,43,42.06%,143,340,0.61,2.88,7.91,1.21,3.33,60.23%,206,342,0.6,2.9,7.95,1.15,3.16
all,470,Jie Cui,20,39.84%,49,123,0.51,2.51,6.15,1,2.45,51.24%,62,121,0.51,2.47,6.05,1.2,2.95
all,12,Jiri Lehecka,56,34.08%,121,355,0.53,2.54,6.34,0.86,2.16,66.53%,165,248,0.36,1.77,4.43,0.59,1.48
all,448,Joao Eduardo Schiessl,19,34.68%,43,124,0.65,2.95,6.53,1.02,2.26,56.38%,84,149,0.77,3.55,7.84,1.55,3.42
all,27,Joao Fonseca,42,42.07%,114,271,0.49,2.42,6.45,1.02,2.71,66.92%,174,260,0.47,2.32,6.19,0.77,2.05
all,259,Joao Lucas Reis Da Silva,48,42.86%,132,308,0.58,2.66,6.42,1.14,2.75,60.00%,216,360,0.68,3.1,7.5,1.24,3
all,582,Joaquin Aguilar Cardozo,15,45.95%,51,111,0.72,3.08,7.4,1.42,3.4,53.54%,68,127,0.81,3.53,8.47,1.64,3.93
all,183,Joel Schwaerzler,53,40.13%,122,304,0.5,2.41,5.74,0.97,2.3,65.66%,239,364,0.59,2.89,6.87,0.99,2.36
all,560,Johan Alexander Rodriguez,12,36.26%,33,91,0.71,3.37,7.58,1.22,2.75,63.10%,53,84,0.64,3.11,7,1.15,2.58
all,412,Johan Nikles,12,44.55%,45,101,0.8,3.48,8.42,1.55,3.75,57.76%,67,116,0.89,4,9.67,1.69,4.08
all,315,Johannus Monday,36,42.70%,76,178,0.44,2.12,4.94,0.9,2.11,67.72%,107,158,0.39,1.88,4.39,0.61,1.42
all,314,Jonas Forejtek,28,40.66%,74,182,0.56,2.68,6.5,1.09,2.64,64.29%,135,210,0.64,3.09,7.5,1.1,2.68
all,113,Jordan Thompson,15,29.00%,29,100,0.59,2.86,6.67,0.83,1.93,65.00%,52,80,0.48,2.29,5.33,0.8,1.87
all,678,Joshua Sheehy,6,26.92%,7,26,0.32,1.73,4.33,0.47,1.17,70.59%,24,34,0.42,2.27,5.67,0.67,1.67
all,765,Josip Simundza,5,60.00%,9,15,0.32,1.36,3,0.82,1.8,52.27%,23,44,0.9,4,8.8,1.91,4.2
all,801,Jozef Kovalik,5,53.57%,15,28,0.51,2.33,5.6,1.25,3,41.67%,15,36,0.64,3,7.2,1.75,4.2
all,276,Juan Bautista Torres,52,48.89%,221,452,0.78,3.65,8.69,1.78,4.25,55.46%,254,458,0.8,3.69,8.81,1.65,3.92
all,157,Juan Carlos Prado Angelo,58,42.18%,178,422,0.64,3.13,7.28,1.32,3.07,61.96%,303,489,0.74,3.62,8.43,1.38,3.21
all,457,Juan Cruz Martin Manzano,11,44.29%,31,70,0.57,2.59,6.36,1.15,2.82,54.74%,52,95,0.77,3.52,8.64,1.59,3.91
all,343,Juan Estevez,19,40.24%,68,169,0.79,3.76,8.89,1.51,3.58,54.11%,79,146,0.69,3.24,7.68,1.49,3.53
all,52,Juan Manuel Cerundolo,55,41.75%,162,388,0.59,2.81,7.05,1.17,2.95,61.58%,218,354,0.55,2.57,6.44,0.99,2.47
all,287,Juan Manuel La Serna,44,46.52%,174,374,0.78,3.53,8.5,1.64,3.95,56.83%,208,366,0.75,3.45,8.32,1.49,3.59
all,273,Juan Pablo Ficovich,38,45.02%,113,251,0.58,2.73,6.61,1.23,2.97,60.17%,139,231,0.53,2.51,6.08,1,2.42
all,274,Juan Pablo Varillas,54,45.01%,167,371,0.63,3.02,6.87,1.36,3.09,64.02%,258,403,0.7,3.28,7.46,1.18,2.69
all,562,Juan Sebastian Gomez,14,39.22%,40,102,0.68,3.19,7.29,1.25,2.86,41.49%,39,94,0.61,2.94,6.71,1.72,3.93
all,840,Juan Sebastian Osorio,5,27.78%,10,36,0.62,2.77,7.2,0.77,2,52.94%,18,34,0.57,2.62,6.8,1.23,3.2
all,270,Juncheng Shang,16,40.74%,33,81,0.41,1.98,5.06,0.8,2.06,62.50%,60,96,0.49,2.34,6,0.88,2.25
all,136,Jurij Rodionov,63,41.10%,180,438,0.62,2.92,6.95,1.2,2.86,61.72%,237,384,0.53,2.56,6.1,0.98,2.33
all,393,Justin Boulais,24,39.86%,57,143,0.57,2.7,5.96,1.08,2.38,59.38%,114,192,0.76,3.62,8,1.47,3.25
all,190,Justin Engel,45,37.55%,86,229,0.44,2.06,5.09,0.77,1.91,61.09%,190,311,0.58,2.8,6.91,1.09,2.69
all,259,Kaichi Uchida,38,43.58%,78,179,0.43,2.03,4.71,0.89,2.05,59.91%,130,217,0.52,2.47,5.71,0.99,2.29
all,117,Kamil Majchrzak,43,36.92%,103,279,0.51,2.51,6.49,0.93,2.4,64.64%,170,263,0.48,2.37,6.12,0.84,2.16
all,554,Karan Singh,20,30.00%,27,90,0.42,2,4.5,0.6,1.35,60.61%,80,132,0.63,2.93,6.6,1.16,2.6
all,39,Karen Khachanov,39,39.08%,102,261,0.48,2.35,6.69,0.92,2.62,65.87%,166,252,0.46,2.27,6.46,0.77,2.21
all,518,Karim Bennani,9,33.33%,15,45,0.44,1.96,5,0.65,1.67,54.90%,28,51,0.48,2.22,5.67,1,2.56
all,611,Karl Poling,14,40.00%,36,90,0.56,2.73,6.43,1.09,2.57,56.19%,59,105,0.65,3.18,7.5,1.39,3.29
all,421,Kasidit Samrej,15,33.78%,25,74,0.44,2.24,4.93,0.76,1.67,61.62%,61,99,0.59,3,6.6,1.15,2.53
all,664,Kaylan Bigun,9,33.33%,14,42,0.51,2.1,4.67,0.7,1.56,50.88%,29,57,0.69,2.85,6.33,1.4,3.11
all,831,Keegan Rice,10,51.43%,36,70,0.56,2.69,7,1.38,3.6,54.55%,54,99,0.78,3.81,9.9,1.73,4.5
all,209,Keegan Smith,45,38.91%,93,239,0.46,2.23,5.31,0.87,2.07,67.84%,173,255,0.48,2.38,5.67,0.77,1.82
all,721,Kei Nishikori,13,45.45%,35,77,0.54,2.48,5.92,1.13,2.69,45.16%,28,62,0.45,2,4.77,1.1,2.62
all,602,Kenta Miyoshi,13,43.70%,52,119,0.83,3.72,9.15,1.62,4,45.33%,34,75,0.51,2.34,5.77,1.28,3.15
all,1340,Khololwam Montsi,5,44.00%,22,50,0.88,4.17,10,1.83,4.4,55.56%,20,36,0.63,3,7.2,1.33,3.2
all,520,Khumoyun Sultanov,5,21.05%,4,19,0.45,2.11,3.8,0.44,0.8,48.15%,13,27,0.6,3,5.4,1.56,2.8
all,242,Kilian Feldbausch,39,46.22%,165,357,0.85,3.97,9.15,1.83,4.23,57.46%,154,268,0.66,2.98,6.87,1.27,2.92
all,199,Kimmer Coppejans,52,42.04%,214,509,0.87,4.1,9.79,1.73,4.12,56.94%,238,418,0.72,3.37,8.04,1.45,3.46
all,478,Koki Matsuda,8,42.00%,21,50,0.54,2.63,6.25,1.11,2.62,66.13%,41,62,0.69,3.26,7.75,1.11,2.62
all,534,Kokoro Isomura,16,37.33%,28,75,0.45,2.08,4.69,0.78,1.75,61.42%,78,127,0.75,3.53,7.94,1.36,3.06
all,962,Kriish Tyagi,6,42.50%,17,40,0.56,2.86,6.67,1.21,2.83,53.85%,21,39,0.56,2.79,6.5,1.29,3
all,270,Kyrian Jacquet,40,40.81%,131,321,0.68,3.18,8.03,1.3,3.27,60.00%,153,255,0.53,2.52,6.38,1.01,2.55
